"risk_id","legacy_id","description","evidence","probability","impact","severity","affected_domains","current_control","mitigation","target_phase","owner_role","trigger_condition","acceptance_evidence"
"RISK-001","R-01","143 mutating actions reach no authorization authority","Regenerated Permission-Coverage: 388 = 157 + 88 + 143","Certain","High","Critical","All modules","Stage1PermissionBacklogTests pins 143; analyzer baseline designed not built","Waves 2-6 by risk rank; shrink-only analyzer baseline","2A then waves","Platform owner","Any new unprotected mutating action","Backlog strictly decreasing; CI rejects baseline additions"
"RISK-002","R-02","59 High-risk endpoints unprotected incl privilege-granting and credential change","Phase 1 wave plan W2=52 W3=7; AssignPosRole RemovePosRole ChangePassword; 4 AI endpoints return journal cashflow inventory","Certain","High","Critical","HR Identity Projects AI","None beyond SessionValidation which is not authorization","Wave 2 using the proven gate pattern","Wave 2","Platform owner","Any privilege or credential endpoint touched","Per-endpoint tests incl company mismatch and identifier tampering"
"RISK-003","R-03","13 controllers resolve company from a compile-time constant (908 references)","InventoryController 267 AccountingController 201 CrmController 97 ProjectController 87","Certain","High","Critical","Inventory Accounting CRM Projects POS Tasks HR","Correction005StructuralTests pins the 13 by name","Class A sweep as its own batch never inside a feature wave","2C onward","Platform owner","A 14th constant appears","Structural test; per-endpoint validated company source"
"RISK-022","R-22","Master Data migration could change stock valuation","StockCostLayer and moving-average history; CostingMethod immutable once stock exists; ItemComponent read by StockService kit explosion","Medium","Critical","Critical","Inventory Accounting Manufacturing POS","None yet","Mandatory nine-invariant non-regression gate","2C","Finance and Inventory owners","Any Master Data migration script","Nine invariants proven on a disposable SQL Server DB with RequiredEvidence trait"
"RISK-024","R-24","AI could answer from data the asker may not see","4 AiController endpoints authentication-only returning journal anomaly cashflow forecast inventory analysis; all in the 143 backlog","Medium","Critical","Critical","AI Accounting Inventory","None","Wave 2 authorizes endpoints; Stage 9 requires trimming BEFORE retrieval never post-filtering","Wave 2 then Stage 9","AI owner","Any AI feature ships","Trimming test proving AI context excludes non-permitted objects"
"RISK-026","R-26","Test environment drift hides evidence","CROSSBUY_TEST_SQL unset so 46 tests reported skipped for two batches and had never executed; first run failed with 20 Invalid column name errors","Certain","Critical","Critical","All testing","F4 proofs now run; 763/763 with 0 skipped; Razor enabled","SQL Evidence CI guardrail: required tests fail if skipped; Razor in acceptance; leftover scratch DBs fail; four-state reporting","2A","Platform owner","Any required-evidence test reports Skipped","CI shows 0 skipped required tests 0 leftover scratch DBs 3 identical runs"
"RISK-004","R-04","Two role systems answer the same authorization question","Wave 1 fixtures had to seed AccountingUserRoles AND PlatformRoleAssignments for one decision","High","High","High","Accounting Inventory CRM POS Platform","Both read at runtime","IMP-001 consolidation read-both write-new with parity tests","2B","Security owner","Security Console work begins","Parity tests identical decisions before and after"
"RISK-005","R-05","Bootstrap-open makes an unconfigured company fully permissive","Three modules return true for every action when the role table is empty; a guard test asserts it","High","High","High","Accounting Inventory CRM Projects","Documented plus guard test","IMP-002 explicit per-company flag audit and first-run warning; do not flip default silently","2B","Security owner","A new tenant is provisioned","Both flag states asserted per module"
"RISK-006","R-06","leave-manage is bootstrap-open so Encash Provision CarryOver stay open on an unconfigured company","HrAccessService excludes payroll-manage and confidential-view from bootstrap-open but not leave-manage","Medium","High","High","HR","payroll tier closed by default","Fold into IMP-002; consider excluding leave-manage","2B","HR owner","HR go-live on a new company","Test asserting leave-manage closed when configured"
"RISK-007","R-07","SQL Server rejects the EF model cascade graph","GenerateCreateScript fails on FK_Branches_CountriesLookup_CountryID multiple cascade paths","Certain","Medium","High","Platform","Production schema hand-written; F4 fixture strips FKs","IMP-003 measure ALL rejected constraints then decide per constraint; never a blanket cascade change","2A","Platform owner","Any attempt to generate schema from the model","Test enumerating every rejected constraint plus model vs sys.foreign_keys comparison"
