module_scope,kind,constant,value,checked_in_code_times,notes_from_source,source_file,evidence_level
Accounting,action,PeriodClose,period-close,0,,CrossBuy/BL/AccountingAccessService.cs,repository-verified
Accounting,action,PeriodReopen,period-reopen,0,Open -> SoftClosed -> Closed,CrossBuy/BL/AccountingAccessService.cs,repository-verified
Accounting,action,(comment only),read,2,"declared in an interface comment, not as a typed constant",CrossBuy/BL/AccountingAccessService.cs,repository-verified
Accounting,action,(comment only),post,0,"declared in an interface comment, not as a typed constant",CrossBuy/BL/AccountingAccessService.cs,repository-verified
Accounting,action,(comment only),pay,0,"declared in an interface comment, not as a typed constant",CrossBuy/BL/AccountingAccessService.cs,repository-verified
Accounting,action,(comment only),manage,6,"declared in an interface comment, not as a typed constant",CrossBuy/BL/AccountingAccessService.cs,repository-verified
Accounting,action,(comment only),currency-override,10,"declared in an interface comment, not as a typed constant",CrossBuy/BL/AccountingAccessService.cs,repository-verified
Calendar,action,Read,read,2,,CrossBuy/BL/CalendarAccessService.cs,repository-verified
Calendar,action,Create,create,0,,CrossBuy/BL/CalendarAccessService.cs,repository-verified
Calendar,action,Edit,edit,0,,CrossBuy/BL/CalendarAccessService.cs,repository-verified
Calendar,action,Manage,manage,6,,CrossBuy/BL/CalendarAccessService.cs,repository-verified
Calendar,role,CalendarAdministrator,CalendarAdministrator,0,,CrossBuy/BL/CalendarAccessService.cs,repository-verified
Calendar,role,CalendarSupervisor,CalendarSupervisor,0,,CrossBuy/BL/CalendarAccessService.cs,repository-verified
Communication,action,Read,read,2,,CrossBuy/BL/CommunicationAccessService.cs,repository-verified
Communication,action,Send,send,0,,CrossBuy/BL/CommunicationAccessService.cs,repository-verified
Communication,action,CreateGroup,create-group,0,,CrossBuy/BL/CommunicationAccessService.cs,repository-verified
Communication,action,ManageGroup,manage-group,0,,CrossBuy/BL/CommunicationAccessService.cs,repository-verified
Communication,action,AnnouncementSend,announcement-send,0,,CrossBuy/BL/CommunicationAccessService.cs,repository-verified
Communication,action,OutboxManage,outbox-manage,0,,CrossBuy/BL/CommunicationAccessService.cs,repository-verified
Communication,role,CommunicationAdministrator,CommunicationAdministrator,0,,CrossBuy/BL/CommunicationAccessService.cs,repository-verified
Communication,role,AnnouncementPublisher,AnnouncementPublisher,0,groups + announcements,CrossBuy/BL/CommunicationAccessService.cs,repository-verified
Communication,role,OutboxOperator,OutboxOperator,0,announcements only,CrossBuy/BL/CommunicationAccessService.cs,repository-verified
Crm,action,(comment only),read,2,"declared in an interface comment, not as a typed constant",CrossBuy/BL/CrmAccessService.cs,repository-verified
Crm,action,(comment only),edit,0,"declared in an interface comment, not as a typed constant",CrossBuy/BL/CrmAccessService.cs,repository-verified
Crm,action,(comment only),manage,6,"declared in an interface comment, not as a typed constant",CrossBuy/BL/CrmAccessService.cs,repository-verified
Hr,action,Read,read,2,,CrossBuy/BL/HrAccessService.cs,repository-verified
Hr,action,EmployeeView,employee-view,0,HR screens exist; lists and lookups,CrossBuy/BL/HrAccessService.cs,repository-verified
Hr,action,EmployeeManage,employee-manage,0,an individual employee record,CrossBuy/BL/HrAccessService.cs,repository-verified
Hr,action,AttendanceManage,attendance-manage,0,"create/edit employees, contracts, documents",CrossBuy/BL/HrAccessService.cs,repository-verified
Hr,action,LeaveManage,leave-manage,0,"attendance records, policies, holidays",CrossBuy/BL/HrAccessService.cs,repository-verified
Hr,action,LeaveApprove,leave-approve,0,leave types/policies/encashment/provision,CrossBuy/BL/HrAccessService.cs,repository-verified
Hr,action,PayrollView,payroll-view,0,act on an approval step,CrossBuy/BL/HrAccessService.cs,repository-verified
Hr,action,PayrollManage,payroll-manage,0,"payslips, payroll preview",CrossBuy/BL/HrAccessService.cs,repository-verified
Hr,action,OrganizationManage,organization-manage,0,"salary policies, payroll runs",CrossBuy/BL/HrAccessService.cs,repository-verified
