Path,Change,Role,Purpose,Bytes,Lines,SHA256
CrossBuy/Models/Context/Construction/ConstructionCommercial.cs,CREATED,production-source,"8 C1 entities, status vocabularies and the EF model configuration",21952,525,83692a23fe8f557e084552a15f2b0e7be517dc88ef5bcba461a4ca678fd55045
CrossBuy/BL/Construction/ConstructionAuditService.cs,CREATED,production-source,Append-only line-level audit + the concurrency token helper,9408,197,6d1bbb8ba4077f5b1b3ed71031e60b8657b0112b8f6866f84ad0b37402f67e20
CrossBuy/BL/Construction/CommercialRevisionService.cs,CREATED,production-source,"CR-03 immutable commercial revisions, certificate snapshots, historical reproduction",21554,476,48d58fc7a0f9781411bf007184a3179b2d9829002af8f778f39914e89d586fdb
CrossBuy/BL/Construction/SubcontractScopeService.cs,CREATED,production-source,"CR-02 subcontract scope, hard cap (D-07), line-level certification",22025,441,dde5cf6f90041a57ba3a2ad098f0b7ba7766527162d67ccd7151d63da8465183
CrossBuy/BL/BoqService.cs,MODIFIED,production-source,CR-01 stable-identity save; ReplaceAllAsync no longer deletes,29469,587,0fa7702bdc075519287702882b8f47e655deeba28e17bd963672040166ca2d26
CrossBuy/Models/Context/CrossDbContext.cs,MODIFIED,production-source-shared,8 DbSets + one ConstructionCommercialModel.Configure call (additive),42099,638,ecd508cb2fb4766884d700fae5938f5ef5eb06105ce54cb462a738cc9af19479
CrossBuy/Program.cs,MODIFIED,production-source-shared,3 AddScoped registrations for the C1 services (additive),39267,602,d452a0881d0d36db81aa41223e21d3a87ceb466daedfb34faaccd67cdcb7a320
deploy/sql/construction_c1_commercial_foundation.sql,CREATED,deployment-sql,Idempotent additive DDL for the 7 new C1 tables. NOT EXECUTED.,24013,356,a9544c183b609b375fc85333058b48936bff06ff759564f8469f98c3ec162a9a
deploy/sql/construction_c1_contract_mapping_measurement.sql,CREATED,deployment-sql,Read-only measurement (SELECT only) for the D-01 mapping decision. NOT EXECUTED.,14009,227,7c964765774b05919ca60487cca040cf7386019aa831d57cafb25ab7e40cc424
CrossBuy.Tests/ConstructionTestFixture.cs,CREATED,test,SQLite shared in-memory fixture over the real CrossDbContext model,12965,276,ca3d66de7c8c6e315d34d6527a146579a15961617c19c81175e9b81ca3a08e17
CrossBuy.Tests/ConstructionC1BoqIdentityTests.cs,CREATED,test,CR-01 — 10 tests including the re-billing money test,20867,385,a9db683248b8b59a8735b9b2e5830655ba50761daebc7cca1cbea0b59ec47ea4
CrossBuy.Tests/ConstructionC1SubcontractCapTests.cs,CREATED,test,CR-02 — 10 tests including the hard-block and value-cap tests,22465,387,a97722fb1f4f6299c527b3772fa1de66d68a6f71fd45a7f07bc8f22ba9fec83d
CrossBuy.Tests/ConstructionC1CommercialRevisionTests.cs,CREATED,test,CR-03 — 7 tests including historical reproduction,18313,314,17d7606ca50ba0e17e31d7b9c88366abee21cc77044c79b1c1902ff4a5978d46
CrossBuy.Tests/ConstructionC1ConcurrencyAndAuditTests.cs,CREATED,test,Concurrency and audit — 9 tests including two-context conflict and append-only structure,18560,331,d9c6b57975128f12f7d761f6b7de311f6bc0bae58a76d43d01bf2d825d0b581f
docs/construction/Stage-Construction-C1-Commercial-Foundation-Plan.md,CREATED,document,"The C1 plan: scope, the constraint that shaped the design, what changed",6974,113,c569826f707d4fe3d414cab77f8f2999a45256ab0764eb70aeeb53e9f0df80a6
