ID,Severity,Gap,Evidence,WhyItBlocksIntegration,Phase,Owner
TC-G-01,Blocker,Neither TaskItem nor CalendarEvent is registered in EntityRegistry,"BL/Platform/EntityRegistry.cs — the codes are SalesInvoice, PurchaseInvoice, Quotation, JournalEntry, Customer, Supplier, ManufWorkOrder, PosOrder, Employee, Project, Item, PlatformRoleAssignment. No Task, no CalendarEvent.","No timeline, no comments, no files, no followers, and no other record can link TO a task. Tasks CONSUME the registry (BL/TaskLinkResolver.cs is a wrapper over IEntityRegistry) but are absent FROM it — the asymmetry is the single biggest blocker.",R4,Kernel change — REQUEST to Platform
TC-G-02,Blocker,Neither module raises a business event,grep for RecordAsync / IBusinessEventService across BL/Task*.cs and BL/CalendarService.cs returns nothing.,"Nothing from Tasks or Calendar reaches the outbox, so the timeline and the notification projection can never see them however well they are registered.",R3,TAB 4 defines; kernel transports
TC-G-03,Blocker,Tasks and Calendar are completely disconnected from each other,TaskItem has DueDate but no calendar reference; CalendarEvent has no EntityType/EntityId and no TaskId. Neither service references the other.,"A task's due date never appears on a calendar, and an event cannot carry or create a task. This is the integration the increment exists to enable.",R5,TAB 4
TC-G-04,High,Tasks raise NO notifications at all,"grep NotifyAsync/NotifyRoleAsync across Controllers/TasksController.cs, BL/TaskService.cs, BL/TaskGeneratorService.cs, BL/TaskScheduleMatcher.cs — no match.","Assignment, reassignment, due-soon, overdue, completion and auto-generation are all silent. A task assigned to you today notifies you never.",R3,TAB 4
TC-G-05,High,"Calendar notifies only on invite, and only from the controller",Controllers/CalendarController.cs:104 NotifyAsync on invite. BL/CalendarService.cs contains no notification at all.,"Reschedule, cancellation and reminders are silent, and the one notification that exists sits in the controller, so any non-controller caller skips it.",R3,TAB 4
TC-G-06,High,No time-zone model; the two modules disagree about time,"BL/CalendarService.cs writes DateTime.Now and emits ISO WITHOUT an offset (Iso() at line 129, deliberately, so FullCalendar reads it as entered). TaskItem.CreatedAt is DateTime.UtcNow while DueDate is a bare local value.",Merging a task due date and a calendar event onto one surface will place them at different real instants for anyone not in the server's zone.,R5,TAB 4 — needs decision TC-D-03
TC-G-07,High,No recurrence anywhere in either module,"TaskAutoRule.RuleType is a FIXED set of five system-state rules (LowStock, OverdueInvoice, WorkOrderQc, DeliveryReady, NewEmployeeOnboard, BL/TaskGeneratorService.cs:29-33). CalendarEvent has no RRULE, no series and no exception dates.",TM-7 is rule-driven creation and TM-9 is movement matching; NEITHER is a schedule. 'Every Sunday' cannot be expressed for a task or an event.,R5,TAB 4
TC-G-08,Medium,Calendar attendees are replaced by delete-and-reinsert on every save,BL/CalendarService.cs:110-113 — RemoveRange(existing) then re-add.,"Attendee rows have no stable identity, so a response status (accepted/declined/tentative) cannot be added later without losing it on the next save. The same identity anti-pattern this tab already remediated as CR-01 in the construction track.",R5,TAB 4
TC-G-09,Medium,Calendar has no attendee response status and no organiser delegation,"Models/Context/Calendar/CalendarEvent.cs — CalendarEventAttendee carries only EventId and EmployeeId. BL/CalendarService.cs:92,122 — only the owner may edit or delete.","An invitation cannot be accepted or declined, and an assistant cannot manage an executive's calendar.",R5,TAB 4
TC-G-10,Medium,No external calendar synchronisation of any kind,"No ICS/iCal export, no CalDAV, no Exchange/Graph or Google client anywhere in BL/.","'Calendar synchronization' has no existing mechanism to extend — it is new work, and its direction (one-way publish vs two-way sync) is an unmade decision.",R5,TAB 4 — needs decision TC-D-04
TC-G-11,Medium,Tasks and Calendar SQL carries almost no database integrity,"Across the 11 tasks_*.sql scripts and calendar.sql: 0 FOREIGN KEY, 0 CHECK, 0 ROWVERSION, 3 UNIQUE in total.","Integration multiplies the cost of a bad row: a task linked to a deleted entity, or an attendee row pointing at nobody, becomes visible on the timeline and the workspace.",R4,TAB 4
TC-G-12,Medium,TasksController is largely ungated and hardcodes company 1,"Controllers/TasksController.cs:17 DefaultCompanyId = 1; only 3 references to TasksActions in the whole controller, while TasksAccessService defines 8 actions.",A workspace that surfaces tasks across modules would widen the blast radius of an unenforced check.,R4,"FIRST TAB — referred, not fixed here"
TC-G-13,Low,Task status is a free string with no state machine,"TaskItem.Status — New | InProgress | Done, with 'Overdue' derived. No transition table; ChangeStatusAsync validates the target value only.",A timeline that shows 'status changed' needs to know which transitions are legal to render them meaningfully.,R3,TAB 4
TC-G-14,Low,"No task dependencies, no subtasks, no checklist",TaskItem has no ParentId and no predecessor/successor relation.,"A workspace cannot show a blocked task, and construction's future WBS activities cannot hang scheduling off tasks.",R5,TAB 4 — deferred beyond R5
TC-G-16,High,Calendar is absent from the Workspace shell that now exists,BL/Workspace/WorkspaceService.cs injects ITaskService (line 43) and states 'MY WORK - consumes ITaskService. No task rule is re-implemented here.' (line 164). It injects no ICalendarService and exposes no agenda panel.,"The workspace surface this increment was preparing contracts for already exists and already shows tasks. Calendar is the missing half, so 'my day' shows work but not meetings.",R4,TAB 4 supplies; shell author calls
TC-G-15,Low,"Calendar event has no category, colour or entity link for the workspace",CalendarEvent carries Scope (Personal|Company) and nothing else classifiable.,The workspace cannot filter 'show me only site inspections' without a classification.,R4,TAB 4
