screen_id,module,route,title_en,title_ar,fields,actions,columns,notices,modals,code_evidence,runtime_evidence,screenshot_en,screenshot_ar,actions_tested,roles_tested,gaps
SCR-ACCOUNT-AccessDenied,Account,/Account/AccessDenied,Access denied,لا تملك صلاحية الوصول,0,2,0,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNT-Login,Account,/Account/Login,One Platform.,منصّة واحدة.,3,1,0,0,0,repository-verified,NOT viewed,no,no,none — no action was performed on any screen,administrator only,no English screenshot; no Arabic screenshot; 2 field(s) with no caption; 1 icon-only action(s) — must be illustrated
SCR-ACCOUNT-Profile,Account,/Account/Profile,My Profile,الملف الشخصي,0,1,0,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNT-Settings,Account,/Account/Settings,Account settings,إعدادات الحساب,3,1,0,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNT-Statements,Account,/Account/Statements,My Statements,كشوف حسابي,0,1,5,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 icon-only action(s) — must be illustrated
SCR-ACCOUNT-Subscription,Account,/Account/Subscription,My Subscription,اشتراكي,0,0,0,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNTING-AccountingRoles,Accounting,/Accounting/AccountingRoles,Accounting roles,أدوار وصلاحيات المحاسبة,3,3,2,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 icon-only action(s) — must be illustrated
SCR-ACCOUNTING-AiInsights,Accounting,/Accounting/AiInsights,AI Insights,رؤى ذكية,0,0,11,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNTING-ApAging,Accounting,/Accounting/ApAging,AP Aging,أعمار ديون الموردين,1,0,6,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption
SCR-ACCOUNTING-ArAging,Accounting,/Accounting/ArAging,AR Aging,أعمار ديون العملاء,1,0,6,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption
SCR-ACCOUNTING-AssetCategories,Accounting,/Accounting/AssetCategories,Asset Categories,فئات الأصول,7,3,5,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption
SCR-ACCOUNTING-BalanceSheet,Accounting,/Accounting/BalanceSheet,Balance Sheet,قائمة المركز المالي,1,2,4,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption
SCR-ACCOUNTING-BankAccounts,Accounting,/Accounting/BankAccounts,Bank Accounts,الحسابات البنكية,8,3,5,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNTING-CashBoxes,Accounting,/Accounting/CashBoxes,Cash Boxes,الخزائن النقدية,3,3,2,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNTING-CashFlow,Accounting,/Accounting/CashFlow,Cash Flow Statement,قائمة التدفقات النقدية,2,2,2,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,2 field(s) with no caption
SCR-ACCOUNTING-ChartOfAccounts,Accounting,/Accounting/ChartOfAccounts,Chart of Accounts,شجرة الحسابات,16,8,0,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption; 2 icon-only action(s) — must be illustrated
SCR-ACCOUNTING-CostCenters,Accounting,/Accounting/CostCenters,Cost Centers,مراكز التكلفة,1,2,4,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption
SCR-ACCOUNTING-CreateJournal,Accounting,/Accounting/CreateJournal,Edit Draft Entry,تعديل مسودة قيد,5,11,8,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,3 field(s) with no caption; 5 icon-only action(s) — must be illustrated
SCR-ACCOUNTING-CustomerAnalytics,Accounting,/Accounting/CustomerAnalytics,Customer analytics,تحليلات العملاء,1,2,16,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption
SCR-ACCOUNTING-CustomerStatement,Accounting,/Accounting/CustomerStatement,Account statement,كشف حساب,3,4,7,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNTING-Customers,Accounting,/Accounting/Customers,Customers,العملاء,15,4,8,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption
SCR-ACCOUNTING-DepreciationRunDetail,Accounting,/Accounting/DepreciationRunDetail,Depreciation,إهلاك,0,2,4,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNTING-DepreciationRuns,Accounting,/Accounting/DepreciationRuns,Monthly Depreciation,الإهلاك الشهري,2,4,6,1,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption; 1 icon-only action(s) — must be illustrated
SCR-ACCOUNTING-EtaStatus,Accounting,/Accounting/EtaStatus,E-Invoice (ETA),الفاتورة الإلكترونية (ETA),0,0,5,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNTING-Executive,Accounting,/Accounting/Executive,Executive Dashboard,اللوحة التنفيذية,0,8,5,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNTING-FixedAssetDetail,Accounting,/Accounting/FixedAssetDetail,,,15,9,14,1,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,no heading element — name it from the navigation; 3 icon-only action(s) — must be illustrated
SCR-ACCOUNTING-FixedAssets,Accounting,/Accounting/FixedAssets,Fixed Assets,الأصول الثابتة,11,4,8,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption; 1 icon-only action(s) — must be illustrated
SCR-ACCOUNTING-IncomeStatement,Accounting,/Accounting/IncomeStatement,Income Statement,قائمة الدخل,2,2,2,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,2 field(s) with no caption
SCR-ACCOUNTING-Index,Accounting,/Accounting/Index,Accounting,النظام المحاسبي,0,7,4,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 icon-only action(s) — must be illustrated
SCR-ACCOUNTING-JournalEntry,Accounting,/Accounting/JournalEntry,Entry,قيد,0,3,4,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNTING-Journals,Accounting,/Accounting/Journals,Journal Entries,القيود اليومية,3,3,7,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption
SCR-ACCOUNTING-Ledger,Accounting,/Accounting/Ledger,Account Ledger,كشف حساب,0,0,6,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNTING-MaintenanceDue,Accounting,/Accounting/MaintenanceDue,Maintenance due,صيانة مستحقّة,1,2,6,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNTING-MatchReceipts,Accounting,/Accounting/MatchReceipts,Match vendor invoice to goods receipt,مطابقة فاتورة المورّد مع إذن الاستلام,3,3,0,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,2 field(s) with no caption
