area,claim,method,result,evidence_level
baseline,branch and commit,git rev-parse / git log -1,"reporting/studio-gap-closure @ 32985d91, 2026-09-20 14:35:32 +0300",Repository evidence
baseline,working tree preserved,git status --porcelain,"6 untracked files present at start, unchanged at end; nothing committed or deployed",Repository evidence
baseline,application version,grep Version/Company/Authors/Copyright in csproj,NONE DECLARED,Repository evidence
isolation,isolated database created,BACKUP COPY_ONLY + RESTORE WITH MOVE,"CrossBuyAcctTest restored from CrossBuyDev, 23,818 pages",Runtime observed
isolation,isolated app instance,"dotnet publish to C:/temp/cb_acct_iso/app, run on :5299",published with BaseOutputPath redirected so the developer DLL lock (MSB3027) is avoided,Runtime observed
isolation,PROOF of isolation,sys.dm_exec_sessions grouped by db and host_process_id,"PID 39228 (this discovery) = 4 sessions on CrossBuyAcctTest, ZERO on CrossBuyDev; developer PIDs 32692/24512 remain on CrossBuyDev",Runtime observed
isolation,developer session undisturbed,HTTP probe of :44368 before and after,/Account/Login answered 200 throughout,Runtime observed
isolation,SMTP disabled,Smtp__Enabled=false in the process environment,no mail path active,Runtime observed
isolation,e-invoicing makes no outbound call,read BL/TaxService.cs:26-27,"SubmitSalesInvoiceAsync returns a hardcoded Submitted=false, Status=""NotConfigured""",Repository evidence
isolation,production never contacted,no command in this package targets a remote server,confirmed,Repository evidence
scope,services that post to the ledger,scripts/extract_posting_rules.py,16,Repository evidence
scope,declared ledger source types,same,54,Repository evidence
scope,source types with entries in the isolated DB,GROUP BY SourceType,28,Runtime observed
scope,hard-coded vs configurable accounts,scripts/extract_posting_rules.py,"35 hard-coded sites, 277 configurable lookups; StockService holds 19 of the 35",Repository evidence
scope,duplicate-posting guards,same,"75 sites, none exercised",Repository evidence
scope,transaction/rollback sites,same,"31 sites, none exercised",Repository evidence
setup,fiscal periods,SELECT over FiscalYears/FiscalPeriods,"2 years x 13 periods (12 + adjustment), all Open; period 9 covers 2026-09-21",Runtime observed
