EventName,Version,Aggregate,EntityId,Actor,Payload,SensitiveFields,ProposedConsumers
Task.Created,v1,TaskItem,TaskId,creator,"title, assignee, priority, dueDate, linkedEntity",-,"Timeline, Notification(assignee)"
Task.Assigned,v1,TaskItem,TaskId,assigner,"assignee, previousAssignee, dueDate",-,"Notification(new assignee), Timeline"
Task.Reassigned,v1,TaskItem,TaskId,assigner,"assignee, previousAssignee, reason",-,"Notification(both), Timeline"
Task.StatusChanged,v1,TaskItem,TaskId,actor,"fromStatus, toStatus, progressPct",-,Timeline
Task.Completed,v1,TaskItem,TaskId,actor,"completedAt, actualHours",billRate,"Notification(creator), Timeline"
Task.Reopened,v1,TaskItem,TaskId,actor,reason,-,"Notification(assignee), Timeline"
Task.DueSoon,v1,TaskItem,TaskId,system,"dueDate, hoursRemaining",-,Notification(assignee)
Task.Overdue,v1,TaskItem,TaskId,system,"dueDate, daysOverdue",-,Notification(assignee + supervisor)
Task.AutoGenerated,v1,TaskItem,TaskId,system,"ruleType, sourceEntity, ruleKey",-,"Timeline, Notification(default assignee)"
Task.LinkMatched,v1,TaskItem,TaskId,system,"expectedType, matchedEntity, matchedAt",-,"Timeline, Notification(assignee)"
Task.LinkSuggested,v1,TaskItem,TaskId,system,candidateCount,-,Notification(supervisor)
Task.TimeLogged,v1,TimesheetEntry,TimesheetEntryId,actor,"taskId, hours, workDate",costRate,Timeline
CalendarEvent.Created,v1,CalendarEvent,EventId,owner,"title, startAt, endAt, scope, attendeeCount",-,"Timeline, Notification(attendees)"
CalendarEvent.Updated,v1,CalendarEvent,EventId,owner,"changedFields, startAt, endAt",-,"Notification(attendees), Timeline"
CalendarEvent.Rescheduled,v1,CalendarEvent,EventId,owner,"previousStartAt, startAt, previousEndAt, endAt",-,"Notification(attendees), Timeline"
CalendarEvent.Cancelled,v1,CalendarEvent,EventId,owner,reason,-,"Notification(attendees), Timeline"
CalendarEvent.AttendeeInvited,v1,CalendarEvent,EventId,owner,attendeeId,-,Notification(attendee)
CalendarEvent.AttendeeResponded,v1,CalendarEvent,EventId,attendee,response (Accepted|Declined|Tentative),-,"Notification(owner), Timeline"
CalendarEvent.ReminderDue,v1,CalendarEvent,EventId,system,"minutesBefore, startAt",-,Notification(attendees)
TaskCalendarLink.Created,v1,TaskItem,TaskId,actor,"eventId, linkKind (DueDate|Scheduled|Milestone)",-,Timeline
