EventName,Version,Aggregate,EntityId,Company,Project,Actor,Payload,SensitiveFields,ProposedConsumers
ConstructionProject.Created,v1,ConstructionProject,ProjectId,required,required,creator,"code, name, type, site, contract currency",contract value,"Timeline, Notification"
WbsNode.Created,v1,WbsNode,WbsNodeId,required,required,creator,"code, name, parent, path, method",-,Timeline
Boq.Approved,v1,BoqRevision,BoqRevisionId,required,required,approver,"revision no, kind, source, line count, total value","total value, rates","Timeline, Notification, Cost control"
ProjectBudget.Approved,v1,ProjectBudget,BudgetId,required,required,approver,"version, total by cost code",amounts,"Timeline, Notification"
ClientContract.Approved,v1,ClientContract,ContractId,required,required,approver,"contract no, customer, currency, dates","value, terms","Timeline, Notification"
Subcontract.Approved,v1,Subcontract,SubcontractId,required,required,approver,"vendor, scope summary, dates","value, rates","Timeline, Notification"
ProgressCertificate.Submitted,v1,Certificate,CertificateId,required,required,submitter,"certificate no, period, cumulative qty",values,"Timeline, Notification, Approval inbox"
ProgressCertificate.Approved,v1,Certificate,CertificateId,required,required,approver,"certificate no, net payable","values, deductions","Timeline, Notification"
ProgressCertificate.Posted,v1,Certificate,CertificateId,required,required,poster,"invoice id, receipt ids",values,"Timeline, Notification, Cash flow"
Variation.Raised,v1,Variation,VariationId,required,required,originator,"vo no, reason, scope summary",cost impact,"Timeline, Notification"
Variation.Approved,v1,Variation,VariationId,required,required,approver,"vo no, boq revision id, time impact days",cost impact,"Timeline, Notification, Cost control"
Claim.Raised,v1,Claim,ClaimId,required,required,originator,"claim type, cause, responsible party",entitlement value,"Timeline, Notification"
Delay.Recorded,v1,DelayEvent,DelayEventId,required,required,recorder,"date, cause, affected wbs, classification",cost impact,"Timeline, Notification"
MaterialRequest.Raised,v1,MaterialRequest,MaterialRequestId,required,required,requester,"site, wbs, items, quantities",-,"Timeline, Notification"
MaterialRequest.DeliveredToSite,v1,MaterialRequest,MaterialRequestId,required,required,storekeeper,"site, warehouse, quantities, movement ids",unit cost,"Timeline, Cost control"
DailySiteReport.Submitted,v1,DailySiteReport,DailySiteReportId,required,required,submitter,"date, site, manpower total, equipment total, quantities",cost rates,"Timeline, Notification"
Rfi.Raised,v1,Rfi,RfiId,required,required,originator,"rfi no, discipline, due date",-,"Timeline, Notification"
Inspection.Approved,v1,InspectionRequest,InspectionRequestId,required,required,inspector,"inspection no, wbs, result",-,"Timeline, Notification"
DrawingRevision.Issued,v1,DocumentRevision,DocumentRevisionId,required,required,document controller,"document no, revision, discipline, supersedes",-,"Timeline, Notification, Site warning"
ConstructionProject.HandoverCompleted,v1,ConstructionProject,ProjectId,required,required,project manager,"handover date, as-built set, DLP end",retention balance,"Timeline, Notification, Retention"
