stage,record,dimension,weight,level,percent,score,delta_vs_previous,evidence
000,Stage-000-Baseline.md,ERP Business Coverage,20,3,60,12.00,,"10 modules posting through the two sanctioned writers; multi-tenancy nominal (DefaultCompanyId=1 in 8 controllers, CompanyId=1 in 4 access services); FiscalPeriod has no CompanyID"
000,Stage-000-Baseline.md,Security and Company Isolation,15,2,40,6.00,,"75/381 mutating actions have an action-level module permission; 306 do not; no EF global query filters; 4 access services / 3 vocabularies; unguarded static upload URLs (A4)"
000,Stage-000-Baseline.md,Platform Kernel and Audit,10,3,60,6.00,,"slice 1+2: transactional outbox, per-consumer dispatch, 4 visibility tiers, legacy adapters, 2 consumers; NO queue observability, NO guarded retry, ReverseAsync emits no event"
000,Stage-000-Baseline.md,Business Object Coverage,10,1,20,2.00,,"8/58 registered (14%); timeline on 4 objects (7%); comments on 3 screens with free-text EntityType; 0 object-scoped files, 0 followers, 0 relations"
000,Stage-000-Baseline.md,Task and Work Management,10,3,60,6.00,,"Tasks TM1-TM9: assignment, links, timesheets, labour, billing, automation, scheduling; no unified work inbox; tasks not registry citizens"
000,Stage-000-Baseline.md,Workflow and Approvals,10,2,40,4.00,,"4 silos (leave, employee request, inventory, discount); /Approvals is a read-only union of 3; discount silo has no table, no record, no approver"
000,Stage-000-Baseline.md,Communication and Collaboration,10,2,40,4.00,,"notifications, chat, email, announcements, comments, timeline, calendar, file library; chat/email/announcements/calendar/library have NO entity linkage; failed emails never retried (A3)"
000,Stage-000-Baseline.md,"Search, AI and Intelligence",7,1,20,1.40,,"registry SearchAsync over 9 codes, not exposed in any global search UI; AI = 3 fixed aggregate endpoints; 0 object-scoped AI context; no AI client timeout"
000,Stage-000-Baseline.md,Testing and Reliability,5,2,40,2.00,,"91 tests, platform layer only incl. real SQL Server concurrency; zero tests for Accounting/Inventory/POS/HR/CRM/Projects; no CI"
000,Stage-000-Baseline.md,Deployment and Operations,3,1,20,0.60,,"two deploy/sql trees, 105+ scripts, no manifest, no applied-scripts table (B5); 4 name collisions with different content; no runbook; 6 workers with no single-process control"
000,Stage-000-Baseline.md,TOTAL,100,,,44.00,,baseline measured on CORRECTION-001 + CORRECTION-002 corrected evidence
001,Stage-001-Batch-A-Result.md,ERP Business Coverage,20,3,60,12.00,0.00,unchanged - Batch A added no business function
001,Stage-001-Batch-A-Result.md,Security and Company Isolation,15,2+,50,7.50,1.50,"4 workers de-hardcoded to IWorkerCompanyScope with per-company failure isolation and no fallback to company 1 (A7 - was 4 workers, not 2); 13 compiled-metadata security regression tests"
001,Stage-001-Batch-A-Result.md,Platform Kernel and Audit,10,3+,70,7.00,1.00,"JournalEntry.Reversed recorded in ReverseAsync's ScopedTx before commit, no swallow, Confidential, dedup-keyed (A5); Quotation registered; DocComment EntityType validated on write (A6)"
001,Stage-001-Batch-A-Result.md,Business Object Coverage,10,1,20,2.00,0.00,"9/58 registered (16%) - still below level 2's 40% threshold; Quotation gained comments, not a timeline"
001,Stage-001-Batch-A-Result.md,Task and Work Management,10,3,60,6.00,0.00,unchanged - task workers became company-correct (scored under Security) but no task capability changed
001,Stage-001-Batch-A-Result.md,Workflow and Approvals,10,2,40,4.00,0.00,unchanged - four silos remain
001,Stage-001-Batch-A-Result.md,Communication and Collaboration,10,2+,50,5.00,1.00,"email outbox with UPDLOCK/READPAST claiming, bounded retry, stale reclaim, permanent-failure logging (A3); Attempts incremented exactly once via the TrySendAsync/TransmitAsync split; dispatcher skips the pass when SMTP unconfigured"
001,Stage-001-Batch-A-Result.md,"Search, AI and Intelligence",7,1,20,1.40,0.00,unchanged
001,Stage-001-Batch-A-Result.md,Testing and Reliability,5,2,40,2.00,0.00,"164 tests (from 91) but all platform/Stage-0; level 3 requires the financial writers and business flows to have regression tests - they have zero"
