id,title,classification,problem,evidence,business_value,technical_value,dependencies,risks,compatibility_impact,test_approach,ux_impact,priority,phase
R1,Absorb the four module role tables into PlatformRoleAssignments,Required Now,"Four module-specific role tables hold live authorization data alongside the shared table Batch C built to replace them; two systems answer one question","Wave 1 fixtures had to seed AccountingUserRoles AND PlatformRoleAssignments to make one decision meaningful","One place to grant and audit; Batch D2 console cannot be honest without it","Removes the largest duplication in the authorization layer","PlatformRoleAssignments deployed to target DB","Live authorization data; needs read-both/write-new migration","Additive migration; no decision changes","Per-module parity tests: identical decisions before and after","Security console shows complete grants",1,2A/2B
R2,Make bootstrap-open explicit per company and auditable,Required Now,"Three modules return true for EVERY action when their role table is empty for the company; invisible at runtime","A dedicated guard test was required asserting permission IS granted with no role rows","A new tenant is safe by default","Removes an invisible permissive default","R1","Flipping the default would lock out unconfigured installs","Ship as explicit flag defaulting to today's behaviour plus first-run warning","Assert both flag states per module","First-run configuration prompt",2,2B
R3,Validate the EF relational model against SQL Server DDL,Required Now,"GenerateCreateScript is rejected by SQL Server (FK_Branches_CountriesLookup_CountryID multiple cascade paths); model never validated against the real engine","F4 hit it directly; production schema is hand-written SQL","Prevents model/database divergence going unnoticed","Model and DB currently allowed to disagree with no failing test",none,"Changing cascade behaviour blindly would alter deletion semantics in a reverse-never-delete codebase","None if measure-first is followed","Test enumerates ALL rejected constraints; compare model to sys.foreign_keys",none,3,2A
R4,Make SessionValidation unmistakable for authorization,Recommended Now,"Sits on 257 mutating actions and proves only that a session exists","Stage 1 had to repeatedly restate that it is not authorization","Reduces misreading of security posture","Removes a naming hazard",none,low,"Rename or annotate; no behaviour change","Assert the attribute carries a non-authorization marker",none,4,2A
R5,Per-request authorization decision log,Recommended Now,"Denials are logged individually; no single place to ask why a request was refused","Stage 1 logs are per-service","Faster support diagnosis","Foundation for the D2 console","R1",low,additive,"Assert a decision trail exists for an allowed and a denied request","Feeds Permission Diagnostics screen",5,2B
R6,Mark superseded maturity and permission records,Recommended Now,"Eight maturity records and three superseded permission figures (151/54/183 152/55/181) with no marker","A reader cannot tell which figures are current","Prevents quoting stale numbers","Evidence hygiene",none,none,none,"Assert only one record is marked current",none,6,2A
R7,Generalise the TaskScopeQuery set-based pattern,Recommended Now,"Proven no-N+1 pattern is Tasks-only; HR WMS Projects all need set-shaped reads","1 permission evaluation for 500 rows, proven","Large-list screens stay fast as modules grow","Prevents per-row CanAsync reappearing","Second consumer must exist first",low,additive,"Reuse the evaluation-count test per consumer","Fast list screens",7,2B
R8,Unified audit and history framework,Planned Later,"Per-table CreatedBy/At only; no unified history","No audit table exists","Required by HR and Quality","Single history projection","Business Object Registry",medium,additive,"Per-capability audit assertions","Timeline and History panel",8,2B+
R9,Enterprise search,Planned Later,"No search capability exists","No search index or service in source","Every find-it story","One index across objects","Registry",medium,additive,"Relevance and permission-trimming tests","Search screen",9,2C+
R10,AI context framework,Planned Later,"AI endpoints are authentication-only with no context model","4 AiController endpoints in the backlog","Trustworthy AI answers","Permission-trimmed retrieval","Registry search timeline",high,additive,"Assert AI retrieval respects permissions","AI assistant surface",10,Stage 9
