Area,BuiltBy,ProposedOwner,Status,Evidence,HandoverNote
Task entity + lifecycle,TM series (this tab's lineage),TAB 4 — Tasks & Calendar,Confirmed,Models/Context/Tasks/TaskItem.cs; BL/TaskService.cs (302 lines),No handover needed — already this tab's lineage (TM-1..TM-9).
Task timesheet + hours,TM-3,TAB 4,Confirmed,Models/Context/Tasks/TimesheetEntry.cs; BL/TimesheetService.cs,—
Task labor posting to work orders,TM-4,"TAB 4 (orchestrates), Manufacturing (writer)",Confirmed,BL/TaskCostService.cs; ManufService.AddLaborAsync,Posting stays with the existing writer; Tasks only marks LaborPostedAt.
Task billing,TM-5,"TAB 4 (orchestrates), Accounting (writer)",Confirmed,BL/TaskBillingService.cs → ReceivableService,Posting stays in ReceivableService. No new writer.
Task auto-generation rules,TM-7,TAB 4,Confirmed,Models/Context/Tasks/TaskAutomation.cs; BL/TaskGeneratorService.cs; BL/TaskGeneratorHostedService.cs,—
Scheduled-task movement matching,TM-9,TAB 4,Confirmed,BL/TaskScheduleMatcher.cs; BL/TaskScheduleMatchHostedService.cs; Models/Context/Tasks/TaskMatchSuggestion.cs,—
Task authorization,Stage 1 Batch C (FIRST TAB),FIRST TAB,Unchanged — do not modify,"BL/TasksAccessService.cs (239 lines, 8 actions, 3 roles)",TAB 4 consumes it; any new action is a REQUEST to the first tab.
Calendar entity + service,Parallel feature-module team (Comm/Calendar/Library/Announcements set),TAB 4 — Tasks & Calendar,**HANDOVER REQUIRED**,Models/Context/Calendar/CalendarEvent.cs; BL/CalendarService.cs (131 lines); Controllers/CalendarController.cs,"Built under the feature-module conventions (co-located interface+impl, bilingual literals). Taking it over needs an explicit owner decision — recorded as TC-D-01."
Calendar reminders surface,Parallel feature-module team,TAB 4,**HANDOVER REQUIRED**,Views/Shared/_CalendarReminders.cshtml embedded in _LayoutAccounting/_LayoutBackend/_LayoutInventory/_LayoutManufacturing,Renders on four shared layouts. Any change is visible platform-wide — coordinate before touching.
Entity registry (the link target table),Platform Kernel,Platform Kernel,Unchanged — request only,BL/Platform/EntityRegistry.cs,"Registering Task/CalendarEvent is a kernel change TAB 4 must REQUEST, not make."
Business event kernel + outbox,Platform Kernel,Platform Kernel,Unchanged,BL/Platform/BusinessEventService.cs; BusinessEventDispatchWorker.cs,TAB 4 defines events; the kernel transports them.
Timeline projection,THIRD TAB — Communication,THIRD TAB,Unchanged — request only,BL/Platform/TimelineProjectionConsumer.cs; TimelineProjectionService.cs,TAB 4 supplies payloads; the third tab renders and consumes.
Comments / mentions / notifications infrastructure,THIRD TAB — Communication,THIRD TAB,Unchanged — request only,BL/Communication/*; BL/Comm/*; BL/NotificationService.cs,Direct NotifyAsync stays permitted while Task/CalendarEvent are NOT onboarded (ADR-006 retained producers).
Workspace shell,"ANOTHER TAB (created 2026-08-06 10:30, during this increment)",Its author,Exists — do not modify,"BL/Workspace/WorkspaceContracts.cs (260), WorkspaceService.cs (587), WorkspaceNavigation.cs (151), WorkspaceRegistration.cs (34), Controllers/WorkspaceController.cs (61)",Already consumes ITaskService for the My Work panel and reads Notifications/mentions. TAB 4 does NOT rebuild it; TAB 4 contributes a Calendar/agenda source to it.
Workspace: Tasks contribution,Workspace author (consuming ITaskService),Shared — Workspace shell calls TAB 4's service,Working today,"BL/Workspace/WorkspaceService.cs:43,164 — 'MY WORK - consumes ITaskService. No task rule is re-implemented here.'",The correct pattern and already in place: the shell calls the module's service instead of re-querying TaskItems.
Workspace: Calendar contribution,nobody,TAB 4,**MISSING**,BL/Workspace/WorkspaceService.cs injects ITaskService but NOT ICalendarService; there is no agenda or events panel,This is the real remaining workspace gap and it is TAB 4's to supply.
Notification delivery + hub,Platform / THIRD TAB,unchanged,Unchanged,BL/NotificationService.cs; Hubs/NotificationsHub.cs,Calendar already pushes through it from the controller.
