"source_id","source_type","table_or_policy","role_or_access_category","reader","writer","company_scope","branch_scope","principal_type","active_behavior","validity_behavior","audit","bootstrap_interaction","migration_classification","authoritative_state_eligibility","risks"
"SRC-001","Platform authorization grant","PlatformRoleAssignments","Scope + Role code","PlatformRoleDirectory; HrAccessService; ProjectsAccessService","NONE IN PRODUCTION (tests only)","CompanyID direct","ScopeBranchId (nullable)","PrincipalType (Employee today)","IsActive","ValidFrom / ValidTo honoured","CreatedAt / CreatedBy present; no RevokedBy yet","AnyConfiguredAsync per company+scope drives bootstrap-open","TARGET","Eligible once a Grant Writer exists","RISK-037 no writer so HR and Projects are bootstrap-open in production"
"SRC-002","Module role assignment","AccountingUserRoles","ChiefAccountant Accountant Cashier Auditor","AccountingAccessService","AccountingController.AssignAccRole / RemoveAccRole","CompanyID direct","none","Employee implicit","hard delete on remove","none","CreatedAt only","empty table for a company opens every accounting action","MIGRATE","Legacy authoritative until cutover","RISK-038 writer must stop at cutover"
"SRC-003","Module role assignment","InventoryUserRoles","InventoryManager WarehouseKeeper others","InventoryAccessService","InventoryController.AssignRole / RemoveRole","CompanyID direct","ScopeBranchId used for WarehouseKeeper","Employee implicit","hard delete on remove","none","CreatedAt only","empty table opens inventory actions","MIGRATE","Legacy authoritative until cutover","Branch scope must map exactly; flattening would widen access"
"SRC-004","Module role assignment","CrmUserRoles","SalesManager SalesRep Marketing CrmViewer","CrmAccessService","CrmController.AssignCrmRole","CompanyID direct","none","Employee implicit","row presence","none","CreatedAt only","empty table opens CRM actions","MIGRATE","Legacy authoritative until cutover","Owner and team breadth must stay computed in the access service"
"SRC-005","Branch-scoped POS role","BranchUserRoles","pos-cashier pos-manager pos-waiter pos-kitchen","PosAccessService; PosSetupService","PosSetupService.AssignPosRoleAsync / RemovePosRoleAsync","NONE - branch-owned, no CompanyID","BranchId is the owner","Employee via AspNet user","IsActive flag","none","CreatedAt only","POS is never bootstrap-open","DO NOT MIGRATE (sanctioned exception)","Remains authoritative for POS","Lane login resolves rights before a BusinessContext exists"
"SRC-006","Business membership","ProjectMembers","project membership role","ProjectsAccessService","NONE IN PRODUCTION (tests only)","CompanyID present but project row is authority","none","Employee","row presence","none","CreatedAt","not a bootstrap source","NEVER MIGRATE","Not an authorization store","Membership has its own lifecycle; must not become a role row"
"SRC-007","Business membership","ConversationMembers","conversation membership and Owner","CommunicationAccessService; ChatService; ChatHub","ChatService / ChatController","via parent Conversation","none","Employee","row presence","none","JoinedAt","not a bootstrap source","NEVER MIGRATE","Not an authorization store","Batch C.1 proved membership is the control protecting a conversation"
"SRC-008","Identity role","AspNetRoles / AspNetUserRoles","Admin Administrator SuperAdmin PlatformOps","PlatformOpsAttribute via IsInRole (ONE call site)","ASP.NET Identity APIs","none - global","none","AspNet user","Identity managed","none","Identity managed","PlatformOps composes with accounting manage","DO NOT MERGE","Separate console view","Platform-operator identity, not a business grant"
"SRC-009","Hierarchy-derived access","Hierarchical via IOrgHierarchy","manager reach over reports","IOrgHierarchy; Hr / Crm / Tasks / Projects access services","People and Structure screens","intersected with company by IOrgHierarchy","none","Employee","tree shape","none","none","not a bootstrap source","NOT STORAGE","Derived at query time","RISK-015 Hierarchical has no CompanyID"
"SRC-010","Ownership / record-level","AssigneeEmployeeId CreatedByEmployeeId CRM owner","record ownership","Tasks / Crm / Projects access services","the owning document writers","row CompanyID","row BranchId where present","Employee","row data","none","row audit columns","not a bootstrap source","NOT STORAGE","Record data, not a grant","none"
"SRC-011","Bootstrap-open policy","AnyConfiguredAsync per company+scope","implicit allow when unconfigured","ModuleAccessServiceBase and the module access services","none - it is derived","per company","none","n/a","derived","none","none","IS the bootstrap mechanism","POLICY NOT STORAGE","IMP-002 subject","RISK-005 RISK-006 unconfigured company is permissive"
"SRC-012","System context policy","SystemContextPolicy / BusinessContext.IsSystem","system actions","access services","none","explicit company on the worker scope","none","System","code policy","none","none","bypasses role checks by design","POLICY NOT STORAGE","Code policy","Must never be creatable as an employee grant"
"SRC-013","Legacy ad hoc","SessionValidation and PosLaneActivityGuard attributes","not authorization","MVC filter pipeline","n/a","none","lane only","n/a","n/a","none","none","counts as neither grant nor bootstrap","NOT AUTHORIZATION","Never authoritative","IMP-009 rename so it cannot be mistaken for a guard; sits on 257 mutating actions"
