"script","rank","idempotency","safe_to_reapply","guards_found","mutations","unguarded_batches","review_verdict","review_evidence","encoding","bytes","sha256","excluded","excluded_reason"
"deploy/sql/fresh/00_create_database.sql","0","no-mutation","True","db-id","","",,,"utf-8","178","8fc0271a0423da4cd2ae80598776030bc08db92c1f703b1c0d4eb6f30fd18dc3","False",
"deploy/sql/fresh/01_schema.sql","1","guarded","True","if-not-exists;if-exists;sys-catalog","create-table;alter-add;create-index","",,,"utf-8","218918","c12e96a78b7fc797f9debfd67225e10b1539345bea375e59e6c40f845c6da8db","False",
"deploy/sql/fresh/02_foreign_keys.sql","2","no-mutation","True","if-not-exists;if-exists;sys-catalog","","",,,"utf-8","19937","7333ccfdf480c557431cfcc2758250ea8102b13661e2a10ac649cd61b7b1c0f6","False",
"deploy/sql/fresh/03_seed_config.sql","3","guarded","True","if-not-exists","insert","",,,"utf-16le-bom","63430","dd44992f7fa954621930c3da7527258b27406bf2b55405f0d743e8da89bc4971","False",
"CrossBuy/deploy/sql/platform_business_events.sql","10","guarded","True","object-null;if-not-exists;sys-catalog","create-table;alter-add;create-index;exec-ddl","",,,"utf-8","9377","d11bc9c9b22acf887be52aadf39246d40eee3afdf7661d7dca1e066700a1b415","False",
"CrossBuy/deploy/sql/platform_business_events_slice_002.sql","11","guarded","True","if-not-exists;col-length;sys-catalog","alter-add;create-index","",,,"utf-8","5116","4a03af4da0836c228a9e6906bb8957295f77ff70510c774b16fa1d7c9b8c842d","False",
"CrossBuy/deploy/sql/pos_schema_master.sql","20","no-mutation","True","","","",,,"utf-8","2531","b987e14873801b65e34db0fba7da37251bc4ef1c2743680180bd64d9cc89661b","False",
"CrossBuy/deploy/sql/pos_setup.sql","20","guarded","True","object-null;if-not-exists;sys-catalog","create-table;create-index","",,,"utf-8","3531","023895d87377baff30dc153bb287a1d0e15d16d9c92654e9fa83d61d3bbbf7c6","False",
"CrossBuy/deploy/sql/tasks_tm1.sql","20","guarded","True","object-null;if-not-exists;sys-catalog","create-table;create-index","",,,"utf-8","1096","545f69c66d91e900ae117144ee305f4fa23fcea6c931176951a3d36176967ce4","False",
"deploy/sql/brand_foundation.sql","20","guarded","True","object-null;if-not-exists;where-not-exists;col-length;sys-catalog","create-table;alter-add;create-index;insert","",,,"utf-8","1992","42caa5e75d76605b90bb0add8b8cd7c2bf21a3c9b4494cd2402e84c072e5ed86","False",
"deploy/sql/comm_mail.sql","20","guarded","True","object-null","create-table;create-index","",,,"utf-8","1495","0dffc07759b02b996da28525bcb43cf14168237bc7f11e1d0a185eb24ac46e18","False",
"deploy/sql/crm_schema_updates_3x.sql","20","guarded-by-predicate","True","object-null;if-not-exists;where-not-exists;col-length;sys-catalog","create-table;create-index;insert;update","6","idempotent","Tables/columns are guarded (OBJECT_ID / COL_LENGTH, including a sp_executesql loop). The flagged batch backfills Activities with ""WHERE EntityType IS NULL"", and the migration INSERT carries WHERE NOT EXISTS. All predicate-idempotent.","utf-8","16318","06d053b0e588134cddb08b3391315b476d9b5a56c3ee7d57823c4e76ca883c93","False",
"deploy/sql/manuf_schema_4x.sql","20","guarded","True","object-null;if-not-exists;col-length","create-table;alter-add;create-index;insert","",,,"utf-8","8460","9d363247e6f991e18b0147b526504e25bc908e30f81020f117ea622780056fcd","False",
"deploy/sql/notifications_hub_p1.sql","20","guarded-by-predicate","True","if-not-exists;col-length;sys-catalog","create-index;update","13","idempotent","Indexes are IF NOT EXISTS guarded. The flagged batch is ""UPDATE n SET n.CompanyID = e.EmpCompanyID ... WHERE n.CompanyID IS NULL"" â€” predicate-idempotent.","utf-8","2083","cb8dae644a96cf87bf59280f016a20560d2f5d200b07741df52a88024b83c0ef","False",
"deploy/sql/pos_setup.sql","20","guarded","True","if-not-exists;where-not-exists;sys-catalog","create-table;alter-add;create-index","",,,"utf-8","5398","1ca5a131856cafb7514db92c4af00cd6f09c6a004c09606fafa1ac1cfd43cda9","False",
"deploy/sql/projects_contracting.sql","20","guarded","True","object-null;col-length","create-table;create-index","",,,"utf-8","1890","66ec505d9d8da035840bb291f71966f513564892dd3fba3ffb8334f4024e0482","False",
"deploy/sql/schema_sync_2026-07.sql","20","guarded","True","object-null;if-not-exists;col-length;sys-catalog","create-table;alter-add;create-index;insert","",,,"utf-8","10724","78ec09a0377d5f24b1130f03b3f12f826e0e4ce540b19a91238d77202622714b","False",
"CrossBuy/deploy/sql/hm_d18_hyper_kwd_pricelist.sql","30","guarded","True","if-not-exists","insert;update","",,,"utf-8","2254","5e7fec45f977624de3d1f47ece4a14217db653c1bb2069ff367c74d386e97eee","False",
"CrossBuy/deploy/sql/hm_d34_relabel_shell_company_refs.sql","30","guarded-by-predicate","True","","update","1","idempotent","Four UPDATEs keyed on membership of the shell-company set (CompanyID IN (65,71,79)). The first run empties that set, so a second run matches zero rows. The trailing SELECTs are read-only verification.","utf-8","2462","1cf2fcf1d969b128b739abc17253680c0de64de8b4d787838cdc1eacd70a598e","False",
"CrossBuy/deploy/sql/hm_d38_branch_tax.sql","30","guarded-by-predicate","True","if-not-exists","alter-add;update","2","idempotent","Batch 1 is COLUMN-guarded via INFORMATION_SCHEMA.COLUMNS. Batch 2 is guarded by IF @branch IS NOT NULL AND @vatex IS NOT NULL (a variable null-check, which no guard pattern recognises) and the UPDATE predicate excludes rows already carrying the target value.","utf-8","1383","0cb2770c5b3cb3b251231140f5b67cabfd363b1260c82819a521a873dc72649d","False",
"CrossBuy/deploy/sql/hm_d39_rename_cogs.sql","30","guarded","True","where-not-exists","insert;update","",,,"utf-8","1741","133a27052276fb009498d9dc709a0aac92a81b3408e28b5494f89d4872ea7ad8","False",
"CrossBuy/deploy/sql/hm16_rename_grni.sql","30","review","False","","update","1",,,"utf-8","1611","8f85fabd376da1f4e388b1ce9afefcb049053e6b2603164e71caea7e743b1eb2","False",
"CrossBuy/deploy/sql/hm2_d23_rate_staleness.sql","30","guarded","True","col-length","alter-add","",,,"utf-8","722","1c709013d1a96acdd62488a239500e51b92b31c86c152ca13306f057b39455cf","False",
"CrossBuy/deploy/sql/hm2_multiunit.sql","30","guarded","True","if-not-exists","alter-add","",,,"utf-8","1665","9851385d2512890c39b6e812734c78f913d80318d880b9c6194203e8615300a3","False",
"CrossBuy/deploy/sql/hm3_weighted.sql","30","guarded","True","if-not-exists;sys-catalog","alter-add;create-index","",,,"utf-8","3234","cedab174a1c881d41a8622cc4578c4ca86d0cce16f271a981baf9c03a73b5145","False",
"CrossBuy/deploy/sql/hm4_pricing.sql","30","guarded","True","object-null;if-not-exists;sys-catalog","create-table;create-index","",,,"utf-8","2664","d31f204a031c21efa8442ff03c4587d5f30d34251eaa644b4c49ce4f43865310","False",
"CrossBuy/deploy/sql/hm7_count_batch.sql","30","guarded","True","col-length","alter-add","",,,"utf-8","1249","7c4877c437944cb1816457a8c3bc1dfea778b13d9d86aa9047a97ca1a517faae","False",
"CrossBuy/deploy/sql/hm8_official_invoice.sql","30","guarded","True","col-length","alter-add","",,,"utf-8","1499","4b30a5ac3a652a8ca08ab0d558a460c0ad0e32e0ddc3ed1421f8a59b31674e72","False",
"CrossBuy/deploy/sql/hyper_presets.sql","30","guarded","True","if-not-exists","insert;delete","",,,"utf-8","2190","edf517a3231b97339dcb4f7aa1adc1f96df0d58a591e622386c3163c787ac6a5","False",
"CrossBuy/deploy/sql/pos_branch_item_sourcing_bis1.sql","30","guarded","True","object-null;if-not-exists;sys-catalog","create-table;create-index","",,,"utf-8","787","02292acf4456de289363c8dc4145bb86e754f053b16a3b87414c6cdee882dacd","False",
"CrossBuy/deploy/sql/pos_delivery_c1.sql","30","guarded-by-predicate","True","object-null;if-not-exists;col-length","create-table;insert;update","6","idempotent","Tables use IF OBJECT_ID IS NULL, columns use COL_LENGTH IS NULL, the seed uses IF NOT EXISTS. The flagged batch is ""UPDATE BranchPosSettings SET DefaultDeliveryFee = 25 WHERE BranchId = 15 AND DefaultDeliveryFee IS NULL"" â€” predicate-idempotent.","utf-8","2558","af73a66e5c984acfd72e466d977147ad7d17e59bc09ba3166fd69174839d0689","False",
"CrossBuy/deploy/sql/pos_delivery_c2.sql","30","guarded","True","object-null;if-not-exists;col-length","create-table;insert","",,,"utf-8","712","6186d65db5a11579493e4f09eb8d63f510963b7844465d0754cfdebfbb4127b3","False",
"CrossBuy/deploy/sql/pos_delivery_c3.sql","30","no-mutation","True","col-length","","",,,"utf-8","219","2e6de73ae1f3eb7f1d74d670bbd82884edf7beaf7819546b945d05b2b03f517b","False",
"CrossBuy/deploy/sql/pos_dining_area_nameen.sql","30","guarded","True","if-not-exists;sys-catalog","alter-add","",,,"utf-8","397","cbf986cde2171746d97ae7e1aedc4f09c625feaafc80b30cb2ef7667896f0cf8","False",
"CrossBuy/deploy/sql/pos_hold_recall.sql","30","no-mutation","True","col-length","","",,,"utf-8","332","e54017f4a107b51215b7b5975f594c387684b9442d164a8dd68975796d2acb76","False",
"CrossBuy/deploy/sql/pos_kds.sql","30","guarded","True","if-not-exists;sys-catalog","alter-add","",,,"utf-8","379","b2e3cce2a6eb7ee84e6a6996fee7e9b2d1106cdc41d1c7ce48cae54a42d47322","False",
"CrossBuy/deploy/sql/pos_kds_stations.sql","30","guarded","True","if-not-exists;sys-catalog","alter-add","",,,"utf-8","646","9cdece203fde14cc165a83ca1286ccb2f45e31ae505a162270705c88e3586ecd","False",
"CrossBuy/deploy/sql/pos_merge_tables.sql","30","no-mutation","True","col-length","","",,,"utf-8","253","56e6e1b2fd8a6ffb939f87934cd4ce668d103a816728b57feb4c49c0eba9bc21","False",
"CrossBuy/deploy/sql/pos_modifiers.sql","30","guarded","True","object-null","create-table;create-index","",,,"utf-8","2415","6db7188d61fb7735921976e9657142a89304d69078260f6d2ba5c0ef948e2653","False",
"CrossBuy/deploy/sql/pos_modifiers_at_sale.sql","30","guarded","True","object-null;if-not-exists;sys-catalog","create-table;create-index","",,,"utf-8","764","57c2330a1e4f1784d17e592da774964154305c7f3c1829a6a3f89c8c88f2d604","False",
"CrossBuy/deploy/sql/pos_order.sql","30","guarded","True","object-null","create-table;create-index","",,,"utf-8","3255","2d02b009f3e1f37b46a75a3c1d3ac093c4ddba7db0fa2ab7521a3118a406d28b","False",
"CrossBuy/deploy/sql/pos_order_guests.sql","30","no-mutation","True","col-length","","",,,"utf-8","239","424c02c5a271385d29e7f291871168e4391dcae708ec9bfed1a2386e824593cd","False",
"CrossBuy/deploy/sql/pos_payment_roles.sql","30","guarded","True","object-null","create-table;create-index","",,,"utf-8","1596","c4f63af29ffc9877c49475abf0a31aee28f80a58b59402ea99c1ae047cf3c212","False",
"CrossBuy/deploy/sql/pos_quickmenu.sql","30","guarded","True","object-null;if-not-exists;col-length;sys-catalog","create-table;create-index","",,,"utf-8","1457","5aaffa8e6c3816ead3c798175d8e07a6339d2b8de009def9e8729c035efead97","False",
"CrossBuy/deploy/sql/pos_reservations_b1.sql","30","guarded","True","object-null;if-not-exists;sys-catalog","create-table;create-index","",,,"utf-8","887","b0995f8ac597024dcc913212c32309031bc9fcf218d510d8189bd347c34b561a","False",
"CrossBuy/deploy/sql/pos_send_kitchen.sql","30","no-mutation","True","col-length","","",,,"utf-8","358","09bfad560235c183a27be690496e2be7f5c3fce6168f65b1a7a75de922a42686","False",
"CrossBuy/deploy/sql/pos_shift_close_rc6a.sql","30","guarded","True","if-not-exists;col-length","insert","",,,"utf-8","1120","3efd5422af87446370d4304570e6167542f627b739ae244b8a68a2bf33f3766e","False",
"CrossBuy/deploy/sql/pos_station_nameen.sql","30","guarded-by-predicate","True","col-length","alter-add;update","2","idempotent","Column added under COL_LENGTH IS NULL. The four UPDATEs all carry ""(NameEn IS NULL OR NameEn = '')"", so a second run matches zero rows.","utf-8","771","8c425e90e8a34f7ea8264da38643d937316d0474ee4c73fa48830363bd6e3262","False",
"CrossBuy/deploy/sql/pos_sync_conflict_9e.sql","30","guarded","True","object-null;if-not-exists;sys-catalog","create-table;create-index","",,,"utf-8","936","59b764b448265cca892dfdc3b12499ff1755df56d6c4a9957d1c483a92c8bc79","False",
"CrossBuy/deploy/sql/pos_sync_log_9d.sql","30","guarded","True","object-null;if-not-exists;sys-catalog","create-table;create-index","",,,"utf-8","639","a6a9d1bab05b67bcd98e431fc4baef8ee42ec55ec6ff1a1015d58f375b60a394","False",
"CrossBuy/deploy/sql/pos_terminals.sql","30","guarded","True","object-null;col-length","create-table;create-index","",,,"utf-8","2946","b8363c063b98bc409c00cc1d07271c3de25dd817eb8895c5483699e7354ddae3","False",
"CrossBuy/deploy/sql/pos_tip_rc5.sql","30","guarded","True","if-not-exists;col-length","insert","",,,"utf-8","845","aa37de968c77d4ba6f22444e5ae17041db3d193cc7cdd7bfba1db91bf4494e7d","False",
"CrossBuy/deploy/sql/pos_void_rc6c.sql","30","no-mutation","True","col-length","","",,,"utf-8","225","f71da84e7a9d01eeb30cea0efb7772dd7258a8f94484e2271424bb20bcd927d0","False",
"CrossBuy/deploy/sql/tasks_progress.sql","30","no-mutation","True","col-length","","",,,"utf-8","172","5209f87a27a2ae084cac16d62b9873dcaa0c293443cfbf7a6f5df85a11576fd7","False",
"CrossBuy/deploy/sql/tasks_tm2_link.sql","30","guarded","True","if-not-exists;col-length;sys-catalog","create-index","",,,"utf-8","515","16d0d7dba790f8d35b71ff018c76d39562e79be3563b04b923a06e5d8ed70dd0","False",
"CrossBuy/deploy/sql/tasks_tm3_timesheet.sql","30","guarded","True","object-null;if-not-exists;sys-catalog","create-table;create-index","",,,"utf-8","1085","399b88042117e350de08747d1879a33e60fcf4112189ae44a7e9600d61770158","False",
"CrossBuy/deploy/sql/tasks_tm4_labor.sql","30","no-mutation","True","col-length","","",,,"utf-8","230","d158b77ba265c46bca5658c4e0182846a5794a6f71ef2d0760acf112899399f6","False",
"CrossBuy/deploy/sql/tasks_tm5_billing.sql","30","no-mutation","True","col-length","","",,,"utf-8","546","d7e557f4b11541a289d8bbe24100bd8ea15253dc6c5463c4885523ef26832b39","False",
"CrossBuy/deploy/sql/tasks_tm7_automation.sql","30","guarded","True","object-null;if-not-exists;sys-catalog","create-table;create-index","",,,"utf-8","1076","6f300105bcb5a63c5243968888bccf8385472a95407fa34a8fdad05dfbf7794c","False",
"deploy/sql/crm_automation_37b.sql","30","guarded","True","object-null;where-not-exists;sys-catalog","create-table;create-index","",,,"utf-8","1322","00c06540cdd3ab58b943eefd3ec6294d9d3d12bada7217f585abaacc1ce2b3b7","False",
"deploy/sql/crm_bilingual_fields_2026-07.sql","30","guarded","True","col-length","alter-add","",,,"utf-8","1817","7641b16306e3a845723d499dfd9660fd892f49c2c63be7a0c68f7b698328b7cd","False",
"deploy/sql/crm_customfields_37b.sql","30","guarded","True","object-null;where-not-exists;sys-catalog","create-table;create-index","",,,"utf-8","1524","437810ccc9666fd43e9e9fc9da2f35d8c3b5599fef9fc01140e9df489996b904","False",
"deploy/sql/hr_document_attachments.sql","30","guarded","True","object-null;where-not-exists","create-table;create-index;insert","",,,"utf-8","1799","100ebd39f60208e1c6ed7f1890554eb6a1d0fd9960f4b2f64f564c0b8a9b63b6","False",
"deploy/sql/hr10_training.sql","30","guarded","True","object-null","create-table;create-index","",,,"utf-8","1650","b44eec8f3beff77567f660a289546438588a8c31c47e44aa53590c0c337d3556","False",
