DecisionId,Area,Subject,Evidence,Options,Recommendation,Impact,BlockingWork,Owner,DueGate,Status
D-01,Security,Accounting.read data breadth,"AFTER B6, Accounting.read returns ledger balances with NO branch filter. Exposed: full company trial balance, account values, customer and vendor statements. Affected: every employee of a company with no configured roles, plus every holder of any accounting role. Dimensions available but unused: Company (enforced), Branch (exists, not applied to read), Project (exists via dimensions), Cost centre.",A) keep company-wide unfiltered; B) branch/company-scoped policy; C) role-tiered breadth (summary vs detail); D) separate permission for account values,B - require a branch/company-scoped policy rather than global unfiltered read. A compatibility read should never be broader than the role it replaced.,Changes what an unconfigured company sees and what a low-tier accounting role sees. Compatibility impact: existing role holders may lose cross-branch visibility. Migration: seed a branch-scoped policy per company. Tests: extend the 14 Accounting focused tests with branch dimensions. Screens: 66 Accounting views + 4 Currency views.,"R6, R10",Owner,R6 entry,OPEN
D-02,Security,Inventory.read warehouse and cost breadth,"Inventory.read exposes stock quantities AND unit costs with no branch or warehouse filter, even though B6 site 3 now enforces warehouse scope exactly for CanUseWarehouseAsync. Read and warehouse-scope therefore disagree. Affected: every employee of an unconfigured company; every inventory role holder. Dimensions: Company (enforced), Branch (exists), Warehouse (enforced for use, not for read).","A) keep; B) warehouse/branch-scoped visibility; C) hide cost, show quantity; D) separate stock-cost permission",B plus D - warehouse/branch-scoped visibility AND a separate stock-cost permission. Cost is the sensitive field; quantity usually is not.,Read alignment with the enforced warehouse scope. Compatibility: buyers and clerks may lose cost visibility. Migration: seed scoped policy; introduce a cost permission code. Tests: extend the 8 Inventory focused tests. Screens: 78 Inventory views.,"R6, R9",Owner,R6 entry,OPEN
D-03,Security,CRM customer-data breadth,"CrmAccessService.cs:59 returns TRUE for EVERY CRM action on a company with no configured roles - read, edit, and every other action. Exposed: all accounts, contacts, leads, opportunities, custom field values and bilingual fields. Affected: every authenticated employee of an unconfigured company. Dimensions: Company (enforced), Owner (see D-04), Team (OrgHierarchy exists), Branch.","A) mirror Accounting - read-only compatibility, all other actions Never; B) deny all; C) keep open; D) assigned/team/company policy explicitly selected","D, defaulting to A - require the policy to state assigned, team or company explicitly. The current behaviour is not a policy; it is the absence of one.",Unblocks CRM B6 site 1. Compatibility: unconfigured companies lose edit/delete. Migration: seed a CRM read policy per company. Tests: a CRM focused suite equivalent to the 14 Accounting tests. Screens: 32 Crm views.,"R6, R11",Owner,R6 entry,OPEN
D-04,Security,CRM unrestricted visible-owner scope,"CrmAccessService.cs:98 returns NULL, and null means unrestricted - the widest possible answer, returned precisely when the system knows least. An unconfigured or misconfigured state currently maps SILENTLY to full visibility. Affected: every CRM list and search. Dimensions: Owner, Team via OrgHierarchy, Branch, Company.",A) own records only; B) team scope via OrgHierarchy; C) keep unrestricted; D) distinguish ConfigurationError from Unconfigured and fail closed on both,"D then A - an unconfigured or error state must NEVER map silently to unrestricted null. Fail closed, then widen deliberately.",Unblocks CRM B6 site 2. Compatibility: users may lose visibility of records they do not own. Migration: an explicit scope decision per company. Tests: scope-exactness tests mirroring the 10 warehouse tests. Screens: all 32 Crm views.,"R6, R11",Owner,R6 entry,OPEN
D-05,Communication,Privacy ceiling,No maximum visibility is defined for comm content on any entity.,A) global internal-only ceiling; B) per-entity declared ceiling; C) per-thread choice,B - each entity registration DECLARES its maximum visibility. Employee: maximum Internal. Journal Entry: maximum Internal. Invoice: maximum Internal unless an external portal policy exists. Support Ticket: Internal or CustomerVisible by comment type. Public: only for explicitly approved external entities.,Gates Communication activation. Approved as architecture direction; production activation still requires R2.,R2,Owner,R2 entry,APPROVED - architecture direction
D-06,Communication,Retention policy,"No retention is defined for threads, notifications, attachments or audit.",A) indefinite; B) per-entity declared retention; C) one global period,"B - each entity registration declares retention duration, archive behaviour, legal-hold behaviour, deletion/anonymization behaviour and attachment retention.",Gates activation and audit. Approved as architecture direction.,R2,Owner,R2 entry,APPROVED - architecture direction
D-07,Communication,Per-entity audit policy,CommAuditWriter exists but per-entity policy is undefined.,A) audit everything; B) audit sensitive entities; C) per-entity declaration,"C - each entity registration declares edit-history, deletion-history, read-receipt, attachment-audit and immutable-history requirements.",Gates the DocComments migration. Approved as architecture direction.,R2,Owner,R2 entry,APPROVED - architecture direction
D-09,Reporting,PDF runtime owner,PlaywrightPdfReportRenderer exists in code; no runtime is provisioned.,A) Playwright in-host; B) sidecar service; C) third-party service,B - a sidecar keeps a browser runtime out of the web host.,"Gates PDF export. Not required for the R4 pilot, which ships HTML, CSV and Excel.",R4+,Owner,Post-R4,OPEN
D-10,Reporting,Email delivery integration,ReportDelivery has no transport.,A) reuse Communication channels; B) direct SMTP; C) provider API,"A - one delivery path for the product, not two.",Gates scheduled delivery. Depends on Communication activation.,R4+,Owner,Post-R4,OPEN
D-11,Reporting,Hosted scheduler ownership,ReportScheduleService has no hosted worker.,A) a new dedicated hosted worker; B) extend the dispatch worker; C) external scheduler,"A - a distinct worker with its own scope, matching the platform rule that a hosted service takes IServiceScopeFactory and scopes per run.",Gates scheduling. Not required for the R4 pilot.,R4+,Owner,Post-R4,OPEN
