screen_id,language,filename,route,final_url,role,state,http_status,page_title,heading,html_lang,direction,inputs,buttons,table_rows,modals,reauthenticated,dev_overlay_visible,capture_date,viewport,privacy_treatment,verification_level,intended_manual_section,workflows,capture_error
SCR-ACCOUNT-AccessDenied,ar,account-accessdenied.ar.png,/Account/AccessDenied,/Account/AccessDenied,development administrator (single session),http-403,403,نظام المخازن - CrossBuy,لا تملك صلاحية الوصول,ar,rtl,19,12,0,1,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 1 — Getting started,,
SCR-ACCOUNT-AccessDenied,en,account-accessdenied.en.png,/Account/AccessDenied,/Account/AccessDenied,development administrator (single session),http-403,403,Inventory System - CrossBuy,Access denied,en,ltr,19,12,0,1,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 1 — Getting started,,
SCR-ACCOUNT-Login,ar,,/Account/Login,/Account/Login,development administrator (single session),refused-redirected-to-signin,200,تسجيل الدخول — CrossBuy,منصّة واحدة. إمكانات بلا حدود.,ar,rtl,3,5,0,0,no,no,2026-09-20,1440x900,not captured,not verified — capture failed,Part 1 — Getting started,WF-ACCESS-01,
SCR-ACCOUNT-Login,en,,/Account/Login,/Account/Login,development administrator (single session),refused-redirected-to-signin,200,Sign in — CrossBuy,One Platform. Endless Possibilities.,en,ltr,3,5,0,0,no,no,2026-09-20,1440x900,not captured,not verified — capture failed,Part 1 — Getting started,WF-ACCESS-01,
SCR-ACCOUNT-Profile,ar,account-profile.ar.png,/Account/Profile,/Account/Profile,development administrator (single session),rendered-empty-state,200,لوحة تحكم CrossBuy,الملف الشخصي,ar,rtl,21,15,0,2,no,no,2026-09-20,1440x900,"development data; automatic scan flagged: email:1,phone-like:1 — REVIEW BEFORE PUBLICATION",runtime viewed (screen renders); no action performed,Part 1 — Getting started,WF-ACCESS-01,
SCR-ACCOUNT-Profile,en,account-profile.en.png,/Account/Profile,/Account/Profile,development administrator (single session),rendered-with-data,200,CrossBuy Admin,My Profile,en,ltr,21,15,0,2,no,no,2026-09-20,1440x900,"development data; automatic scan flagged: email:1,phone-like:1 — REVIEW BEFORE PUBLICATION",runtime viewed (screen renders); no action performed,Part 1 — Getting started,WF-ACCESS-01,
SCR-ACCOUNT-Settings,ar,account-settings.ar.png,/Account/Settings,/Account/Settings,development administrator (single session),rendered-empty-state,200,لوحة تحكم CrossBuy,إعدادات الحساب,ar,rtl,24,15,0,2,no,no,2026-09-20,1440x900,development data; automatic scan flagged: email:1 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 1 — Getting started,,
SCR-ACCOUNT-Settings,en,account-settings.en.png,/Account/Settings,/Account/Settings,development administrator (single session),rendered-with-data,200,CrossBuy Admin,Account settings,en,ltr,24,15,0,2,no,no,2026-09-20,1440x900,development data; automatic scan flagged: email:1 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 1 — Getting started,,
SCR-ACCOUNT-Statements,ar,account-statements.ar.png,/Account/Statements,/Account/Statements,development administrator (single session),rendered-with-data,200,لوحة تحكم CrossBuy,كشوف حسابي,ar,rtl,21,16,2,2,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 1 — Getting started,,
SCR-ACCOUNT-Statements,en,account-statements.en.png,/Account/Statements,/Account/Statements,development administrator (single session),rendered-with-data,200,CrossBuy Admin,My Statements,en,ltr,21,16,2,2,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 1 — Getting started,,
