SliceId,Slice,Tree,Owner,AppliedStatus,GatesOurPath,Note
SQL-01,platform_business_events.sql,CANONICAL (CrossBuy/deploy/sql),Platform,Applied on acceptance DB,"Yes - sale, purchase, reversal",Missing causes SQL-208 on a real sale.
SQL-02,platform_business_events_slice_002.sql,CANONICAL,Platform,Applied on acceptance DB,Yes,Notifications.EntityType/EntityId; missing causes SQL-207. Apply with sqlcmd -I.
SQL-03,platform_role_assignments.sql,CANONICAL,First Tab,Authored,No,Batch A grant storage.
SQL-04,platform_role_assignments_slice_002.sql,CANONICAL,First Tab,Authored,No,Batch A extension.
SQL-05,bootstrap_access_policies.sql,CANONICAL,First Tab,Authored - NOT applied,No,"B6 policy store; 6 CHECKs, filtered unique index, drift detection. Applies in R6."
SQL-06,reporting_platform.sql,CANONICAL,Second Tab,A0 - deployed via the pipeline and recorded in PlatformSchemaHistory (probe-verified); NOT applied to CrossBuyDB2,No,"12 tables. Deployed with apply-sql-slices.ps1 -Slice, which validates a named slice on the same terms as the global pre-flight so an unrelated backlog cannot block a clean one. Applied hash matches the manifest exactly."
SQL-07,communication_platform_slice_001.sql,CANONICAL,Third Tab,Authored - NOT applied,No,14 tables; from-empty and idempotency proved. Applies in R2.
SQL-08,comm_outbox_slice_003.sql,CANONICAL,Third Tab,Authored,No,Legacy Comm module outbox - distinct from the Communication Platform.
SQL-09,platform_schema_history.sql,CANONICAL,Integration Owner,Authored - NOT applied,No,RSK-02. D-40 makes this the APPLIED registry and the first slice in every environment.
SQL-10,construction_c1_commercial_foundation.sql,PACKAGE (deploy/sql),Fourth Tab,Authored - NOT applied,No,8 tables. Applies in R2 in the D-19 environment only. Migrates to canonical root in R1.
SQL-11,construction_c1_contract_mapping_measurement.sql,PACKAGE,Fourth Tab,Authored - NOT applied,No,M3/M9 measurement script. Run in R2 after SQL-10.
SQL-12,pos_hold_recall.sql,BOTH - DIVERGENT,POS owner,Unknown,No,"manifest.json: identical=false, distinctHashes=2. Reconcile per D-39."
SQL-13,pos_order_guests.sql,BOTH - DIVERGENT,POS owner,Unknown,No,"manifest.json: identical=false, distinctHashes=2. Reconcile per D-39."
SQL-14,pos_quickmenu.sql,BOTH - DIVERGENT,POS owner,Unknown,No,"manifest.json: identical=false, distinctHashes=2. Reconcile per D-39."
SQL-15,pos_setup.sql,BOTH - DIVERGENT,POS owner,Unknown,No,"manifest.json: identical=false, distinctHashes=2. Reconcile per D-39."
SQL-16,hm16_rename_grni.sql,CANONICAL,Hyper track,Unknown,No,manifest.json idempotency = REVIEW: a mutating batch with no re-run guard that nobody has read. DO NOT DEPLOY until resolved (RSK-21).
SQL-17,script.sql,REPOSITORY ROOT,Unknown,Never,No,manifest.json idempotency = NOT-DEPLOYABLE and excludedFromDeploy. Judged unsafe to re-run.
SQL-18,00_backup_dev_db.sql,PACKAGE,Integration Owner,Operational,No,"excludedFromDeploy - operational, not a schema slice."
SQL-19,10_purge_for_production.sql,PACKAGE,Integration Owner,Operational,No,excludedFromDeploy - run once after restore.
SQL-20,deploy/sql/fresh/*.sql,PACKAGE - GENERATED,Integration Owner,Generated by gen_fresh_db.ps1,No,"Generated schema build; not hand-authored. Confirms deploy/ is the package root, not an authoring root."
SQL-21,"(53 further module slices, package tree only)",PACKAGE,Various,Various,No,"HR, CRM, projects, pricing, manufacturing, notifications, announcements, chat, boq, brand. Migrate to canonical root in R1 with hash verification."
SQL-22,"(50 further module slices, canonical tree only)",CANONICAL,Various,Various,Some,"Hyper (hm*), POS, tasks (7 slices), calendar, library, inventory reconcile."
