key,arabic,english,french,ar_source,en_source,fr_source,translation_status,use_count,first_used_in
 (functional),(وظيفية),(functional),(fonctionnelle),view,view,view,translated in all three,1,CrossBuy/Views/Inventory/PromotionEditor.cshtml
% of total,النسبة من الإجمالي,% of total,% du total,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/ItemForm.cshtml
(0% VATEX — exempt),(٠٪ VATEX — معفاة),(0% VATEX — exempt),(0% VATEX — exempt),view,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Accounting/SalesInvoicePrint.cshtml
"(KWD~) is indicative — converted at today's rate, not posted; blank when no current rate.",‏(KWD~) إرشاديّ — محوَّل بسعر اليوم، غير مُقيَّد؛ ويُترَك فارغًا عند غياب سعر حاليّ.,"(KWD~) is indicative — converted at today's rate, not posted; blank when no current rate.","(KWD~) is indicative — converted at today's rate, not posted; blank when no current rate.",shared,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Hyper/HyperItemMargin.cshtml
+966 5x xxx xxxx,+966 5x xxx xxxx,+966 5x xxx xxxx,+966 5x xxx xxxx,view,view,view,translated in all three,1,CrossBuy/Views/Admin/EmployeeData.cshtml
", then come back to preview.",ثم عُد للمعاينة.,", then come back to preview.",", puis revenez à l'aperçu.",view,view,view,translated in all three,1,CrossBuy/Views/Pos/Preview.cshtml
0 = no limit.,صفر = بلا حد.,0 = no limit.,0 = aucune limite.,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/PayrollTaxSettings.cshtml
2 days ago,منذ يومين,2 days ago,Il y a 2 jours,view,view,view,translated in all three,2,CrossBuy/Views/Service/BranchDetails.cshtml
24-hour system - no clock dial,نظام 24 ساعة - بدون ساعة دائرية,24-hour system - no clock dial,Système 24 heures - sans cadran d'horloge,view,view,view,translated in all three,1,CrossBuy/Views/Admin/Polices.cshtml
24/7 support,دعم مستمر,24/7 support,Support 24/7,view,view,view,translated in all three,1,CrossBuy/Views/Portal/Choose.cshtml
3-way match,المطابقة الثلاثية,3-way match,Rapprochement à 3 voies,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/_PoRows.cshtml
31-60,٣١-٦٠,31-60,31-60,view,view,view,translated in all three,2,CrossBuy/Views/Accounting/ApAging.cshtml
404 Page,صفحة 404,404 Page,Page 404,view,view,view,translated in all three,1,CrossBuy/Views/Shared/_mainLayout.cshtml
50% off your first order ..,50% off your first order ..,50% off your first order ..,50% off your first order ..,fallback-to-key,fallback-to-key,fallback-to-key,MISSING arabic — key shown to user,1,CrossBuy/Views/Home/Store.cshtml
60 days,60 يومًا,60 days,60 days,view,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Admin/Index.cshtml
61-90,٦١-٩٠,61-90,61-90,view,view,view,translated in all three,2,CrossBuy/Views/Accounting/ApAging.cshtml
90+,+٩٠,90+,90+,view,view,view,translated in all three,2,CrossBuy/Views/Accounting/ApAging.cshtml
"<strong>The Development environment shouldn't be enabled for deployed applications.</strong> It can result in displaying sensitive information from exceptions to end users. For local debugging, enable the <strong>Development</strong> environment by setting the <strong>ASPNETCORE_ENVIRONMENT</strong> environment variable to <strong>Development</strong> and restarting the app.","<strong>The Development environment shouldn't be enabled for deployed applications.</strong> It can result in displaying sensitive information from exceptions to end users. For local debugging, enable the <strong>Development</strong> environment by setting the <strong>ASPNETCORE_ENVIRONMENT</strong> environment variable to <strong>Development</strong> and restarting the app.","<strong>The Development environment shouldn't be enabled for deployed applications.</strong> It can result in displaying sensitive information from exceptions to end users. For local debugging, enable the <strong>Development</strong> environment by setting the <strong>ASPNETCORE_ENVIRONMENT</strong> environment variable to <strong>Development</strong> and restarting the app.","<strong>The Development environment shouldn't be enabled for deployed applications.</strong> It can result in displaying sensitive information from exceptions to end users. For local debugging, enable the <strong>Development</strong> environment by setting the <strong>ASPNETCORE_ENVIRONMENT</strong> environment variable to <strong>Development</strong> and restarting the app.",fallback-to-key,fallback-to-key,fallback-to-key,MISSING arabic — key shown to user,1,CrossBuy/Views/Shared/Error.cshtml
= base units,= كم بالوحدة الأساسية,= base units,= unités de base,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/ItemForm.cshtml
?,؟,?,?,view,view,view,translated in all three,1,CrossBuy/Views/Crm/TicketEditor.cshtml
@,بسعر,@,@,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/ItemLedger.cshtml
A Group inherits its GL account mapping from its parent Category when left empty.,المجموعة ترث ربط حسابات دفتر الأستاذ من فئتها الأب عند تركها فارغة.,A Group inherits its GL account mapping from its parent Category when left empty.,Un Groupe hérite de son mappage de compte GL de sa Catégorie parente lorsqu'il est laissé vide.,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/CategoryForm.cshtml
A follow-up is already open for this finding,توجد بالفعل متابعة مفتوحة لهذه الملاحظة,A follow-up is already open for this finding,Un suivi est déjà ouvert pour ce constat,view,view,view,translated in all three,1,CrossBuy/Views/InsightActions/_NewTask.cshtml
A journal entry will close the VAT accounts and move the net to the authority payable account.,سيتم ترحيل قيد يقفل حسابي ض.ق.م ويحوّل الصافي إلى حساب المستحق للمصلحة.,A journal entry will close the VAT accounts and move the net to the authority payable account.,Une écriture de journal clôturera les comptes de TVA et transférera le net vers le compte à payer à l'administration.,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/VatReturnDetail.cshtml
A journal entry will close the VAT accounts and move the net to the authority payable account. Continue?,سيتم ترحيل قيد يقفل حسابي ض.ق.م ويحوّل الصافي إلى حساب المستحق للمصلحة. متابعة؟,A journal entry will close the VAT accounts and move the net to the authority payable account. Continue?,Une écriture de journal clôturera les comptes de TVA et transférera le net vers le compte à payer à l'administration. Continuer ?,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/VatReturnDetail.cshtml
A name is required.,الاسم مطلوب.,A name is required.,Un nom est requis.,view,view,view,translated in all three,1,CrossBuy/Views/Reports/Viewer.cshtml
"A plan is a production demand for manufactured items. On run, BOMs are exploded multi-level and on-hand is netted, surfacing shortages to make or buy.",الخطة = طلب إنتاج لأصناف مُصنَّعة. عند الحساب تُفجَّر قوائم المواد على عدة مستويات ويُخصم المتاح بالمخزون، فتظهر النواقص المطلوب تصنيعها أو شراؤها.,"A plan is a production demand for manufactured items. On run, BOMs are exploded multi-level and on-hand is netted, surfacing shortages to make or buy.","Un plan est une demande de production pour les articles fabriqués. À l'exécution, les BOM sont éclatées sur plusieurs niveaux et le stock disponible est compensé, faisant apparaître les pénuries à fabriquer ou à acheter.",view,view,view,translated in all three,1,CrossBuy/Views/Inventory/ProductionPlanning.cshtml
A quick look at your balances and requests,نظرة سريعة على رصيدك وطلباتك,A quick look at your balances and requests,Un aperçu rapide de vos soldes et demandes,view,view,view,translated in all three,1,CrossBuy/Views/People/Dashboard.cshtml
A reason is required.,السبب مطلوب.,A reason is required.,Un motif est requis.,shared,fallback-to-key,shared,english falls back to key text,2,CrossBuy/Views/BusinessEventMonitor/Index.cshtml
"A recommendation only — nothing is ordered, transferred or manufactured.",توصية فقط — لم يتم طلب أو تحويل أو تصنيع أي شيء.,"A recommendation only — nothing is ordered, transferred or manufactured.","Une recommandation seulement — rien n’est commandé, transféré ni fabriqué.",view,view,view,translated in all three,1,CrossBuy/Views/RestaurantIntelligence/Index.cshtml
A reference back to the originating record is added automatically.,تتم إضافة مرجع للسجل الأصلي تلقائياً.,A reference back to the originating record is added automatically.,Une référence à l'enregistrement d'origine est ajoutée automatiquement.,view,view,view,translated in all three,1,CrossBuy/Views/InsightActions/_NewTask.cshtml
A scheduled daily check runs automatically and notifies managers on any deviation.,يعمل فحص مجدول يوميًا تلقائيًا ويُخطر المسؤولين عند أي انحراف.,A scheduled daily check runs automatically and notifies managers on any deviation.,Une vérification quotidienne planifiée s'exécute automatiquement et avertit les responsables en cas d'écart.,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/IntegrityReconciliation.cshtml
