Path,Type,Purpose,OwningDomain,ActiveOrLegacy,UsageStatus,RouteOrScreen,Dependencies,SecurityMechanism,CompanyBehavior,BranchBehavior
CrossBuy/Controllers/HyperController.cs,Controller,"Hyper back-office: diagnostic dashboard + 2 read-only reports (sales, item margin)",Hypermarket,Active,Directly used,"GET /hyper, /hyper/dashboard, /hyper/reports/sales, /hyper/reports/item-margin","IPosSetupService, CrossDbContext, ICurrencyService, ICurrencyRounding, MainMenu.Hyper",Session[Employee] via SessionValidationMiddleware; authentication only (no role check),Hard-coded PosCompanyId=1 (pinned by Correction005StructuralTests),Filters every query to Branch.ActivityPresetCode=='Hyper'; optional branchId narrows
CrossBuy/Controllers/HyperPosController.cs,Controller,"Hyper cashier lane: login, shift, scan, cart, cash pay, receipts, A4 invoice, customer identity, price check",Hypermarket,Active,Directly used,"/hyper/pos/* (18 endpoints)","SignInManager, UserManager, IPosAccessService, IPosSetupService, IPosOrderService, ICurrencyRounding, IPricingService, IReceivableService, CrossDbContext, ScaleBarcodeParser, OfficialInvoiceHelper, LoyaltyPointsHelper",Session[HyperCtx] + Identity sign-in + PosLaneActivityGuard per request + PosAccessService.CanSell on mutating actions + capability gates,Hard-coded PosCompanyId=1; cross-company login refused at gateway,Branch from server session only; activity must be 'Hyper'; invoice access proved by BranchOwnsInvoiceAsync
CrossBuy/Controllers/PosController.cs,Controller,"POS/restaurant setup hub: activity preset, capabilities, POS settings, terminals, payment methods, cashier roles, item sourcing, sync conflicts, dashboard",POS shared,Active,Directly used (also the ONLY place hyper branch config is editable),"/Pos/Setup, /Pos/Terminals, /Pos/ItemSourcing, /Pos/Dashboard, others","IPosSetupService, IWarehouseService, IPosOrderService, IReceivableService, PosAccessService, IRequestCompanyResolver, IBusinessContextAccessor, AccountingAccessService",[SessionValidation] + PosGateAsync (real role check over BranchUserRoles + validated company),Hard-coded DefaultCompanyId=1 for setup lists; PosGate resolves a validated company for mutating actions,branchId from request but validated as a PermissionTarget; SaveCapabilities writes only the 7 RESTAURANT keys
CrossBuy/Controllers/PosAppController.cs,Controller,"Restaurant cashier lane: terminal, tables, modifiers, KDS, delivery, multi-tender, split, void, return, offline sync",Restaurant POS,Active,Directly used (restaurant only),/pos/* (60+ endpoints),"same shared services + IHubContext<PosHub> + IBrandService",Session[PosCtx] + PosLaneActivityGuard('restaurant') + CanSell/CanOrder/IsKitchen/IsManager,Hard-coded PosCompanyId=1,Activity whitelist = {Restaurant, Cafe, NULL}; hyper branches refused
CrossBuy/Controllers/InventoryController.cs,Controller,"Retail master data + pricing: items, price lists, promotions, bulk price change, shelf labels, batches, expiry alerts, replenishment planning",Inventory,Active,Directly used; BulkPriceChange + ShelfLabels have NO menu entry and no inbound link,"/Inventory/PriceLists, /PriceListEditor, /Promotions, /PromotionEditor, /BulkPriceChange, /ShelfLabels, /Batches, /ExpiryAlerts, /Planning, /ItemForm","IItemService, IPricingService, IShelfLabelService, IStockService, ICurrencyRounding, ICurrencyService, IInventoryAccessService",[InvPerm] on mutating actions (read|doc|purchase|manage) + warehouse-keeper branch scope; GET shells are authentication-only,Hard-coded DefaultCompanyId=1 (267 references - largest of the 13),Warehouse scope via InvPerm; no branch dimension in pricing screens
CrossBuy/Controllers/AccountingController.cs,Controller,"Accounting twin of the official-invoice print/stamp; customer/vendor statements; manual reversal",Accounting,Active,Directly used,"/Accounting/SalesInvoicePrint, /StampInvoiceCustomer","OfficialInvoiceHelper, IJournalEntryService, IRequestCompanyResolver",[AccPerm(post)] on the stamp; validated company via _company.ResolveAsync (remediated in D1 Wave 1),Stamp action resolves company from BusinessContext (no constant),n/a
CrossBuy/Controllers/Api/DevSeedController.cs,Controller (API),"Dev seeds + 12 hyper acceptance endpoints (hm4/5/6/7/8/9/10/b-accept); also the ONLY writer of the OfficialInvoice capability",Test harness,Active in Development only,Directly used by manual acceptance; 404 in Production,/api/dev/*,"nearly every BL service; HM-D58 dev-context seed filter in OnActionExecutionAsync",[DevOnly] -> 404 outside Development; [AllowAnonymous] inside Development,Seeds an Employee session blob for company 1 when absent,Seeds hyper branch 17 (HYPER-DEMO) fixtures
CrossBuy/Controllers/StoreController.cs,Controller,"Public e-commerce storefront: product + category pages, display only (no cart, no order)",Commerce,Active,Directly used,"/Store/Product/{token}, /Store/Category/{token}","IStoreCatalogService, IIdProtector, ICompanyIsolationBypass",[AllowAnonymous]; ids are encrypted tokens; reads inside BeginPublicCatalogRead (pinned scope, no cross-company),Company pinned to configured Store:StoreCompanyId,n/a
CrossBuy/BL/PosOrderService.cs,Service,"THE order + settlement engine: create order, add/qty/remove line, pay (cash / tenders / split), void paid, return lines, offline sync replay, branch replenishment, semi-finished prep, delivery, floor",POS shared,Active,Directly used by both lanes,n/a,"IReceivableService, IStockService, IJournalEntryService, IPricingService, IManufService, ICurrencyRounding, ICurrencyService, ILogger, IStringLocalizer",service-layer company guard (hard reject on branch/company mismatch); no session awareness,companyId is a parameter; CreateOrderAsync hard-rejects a branch of another company,branchId is a parameter; branch settings drive warehouse/currency/price list/tax/scale
CrossBuy/BL/PosSetupService.cs,Service,"Terminals, shifts, Z report, expected cash, close-with-variance, capabilities, presets, POS settings, dining/stations/zones/drivers, sourcing, reservations, quick menu, modifiers, payment methods, roles",POS shared,Active,Directly used by both lanes,n/a,"CrossDbContext, IJournalEntryService, ICurrencyService, ICurrencyRounding, IStringLocalizer",service-layer; CloseShiftAsync hard-rejects a cross-company terminal,companyId parameter; per-request capability memo cache,branch-scoped throughout; SavePosSettingAsync writes only 4 of 14 BranchPosSetting columns
