"inventory_id","module","scope","action","access_service","mechanism","current_bootstrap_condition","company_behavior","branch_behavior","confidential","financial_impact","inventory_impact","privilege_impact","operational_impact","current_logging","current_audit","admin_visibility","proposed_classification","migration_impact","risk"
"BO-A01","Accounting","Accounting","read","AccountingAccessService","A: legacy early return (AccountingAccessService.cs:60)","AnyRoleConfiguredAsync false -> return true BEFORE the action switch","per company - unconfigured company is open","none","no confidential tier in this module","reads ledger and statements","none","manage assigns accounting roles","accounting screens and APIs","NOT logged - legacy early return has no log line","none","none - no screen shows bootstrap state","Explicitly Allowed Bootstrap Open","seed an explicit policy matching today then close the four","read-only exposure of financial data on an unconfigured company"
"BO-A02","Accounting","Accounting","post","AccountingAccessService","A: legacy early return (AccountingAccessService.cs:60)","AnyRoleConfiguredAsync false -> return true BEFORE the action switch","per company - unconfigured company is open","none","no confidential tier in this module","POSTS JOURNAL ENTRIES to the GL","none","manage assigns accounting roles","accounting screens and APIs","NOT logged - legacy early return has no log line","none","none - no screen shows bootstrap state","NEVER BOOTSTRAP OPEN","seed an explicit policy matching today then close the four","RISK-040 financial posting is bootstrap-open today with no exclusion"
"BO-A03","Accounting","Accounting","pay","AccountingAccessService","A: legacy early return (AccountingAccessService.cs:60)","AnyRoleConfiguredAsync false -> return true BEFORE the action switch","per company - unconfigured company is open","none","no confidential tier in this module","RECORDS PAYMENTS and receipts","none","manage assigns accounting roles","accounting screens and APIs","NOT logged - legacy early return has no log line","none","none - no screen shows bootstrap state","NEVER BOOTSTRAP OPEN","seed an explicit policy matching today then close the four","RISK-040 payments are bootstrap-open today"
"BO-A04","Accounting","Accounting","manage","AccountingAccessService","A: legacy early return (AccountingAccessService.cs:60)","AnyRoleConfiguredAsync false -> return true BEFORE the action switch","per company - unconfigured company is open","none","no confidential tier in this module","period close year-end posting rules","none","manage assigns accounting roles","accounting screens and APIs","NOT logged - legacy early return has no log line","none","none - no screen shows bootstrap state","NEVER BOOTSTRAP OPEN","seed an explicit policy matching today then close the four","RISK-040 period close and role assignment are bootstrap-open today"
"BO-A05","Accounting","Accounting","currency-override","AccountingAccessService","A: legacy early return (AccountingAccessService.cs:60)","AnyRoleConfiguredAsync false -> return true BEFORE the action switch","per company - unconfigured company is open","none","no confidential tier in this module","OVERRIDES FX RATE on a document","none","manage assigns accounting roles","accounting screens and APIs","NOT logged - legacy early return has no log line","none","none - no screen shows bootstrap state","NEVER BOOTSTRAP OPEN","seed an explicit policy matching today then close the four","RISK-040 currency override is bootstrap-open today"
"BO-B01","Inventory","Inventory","read","InventoryAccessService","A: legacy early return (InventoryAccessService.cs:48)","AnyRoleConfiguredAsync false -> return true BEFORE the action switch","per company - unconfigured company is open","ScopeBranchId IGNORED while open - branch scoping does not apply because the switch is never reached","no confidential tier","stock valuation and COGS follow stock documents","reads stock balances and costs","manage assigns inventory roles","inventory and warehouse screens","NOT logged - legacy early return has no log line","none","none - no screen shows bootstrap state","Explicitly Allowed Bootstrap Open","seed explicit policy then close doc purchase manage","read exposure of cost and stock data"
"BO-B02","Inventory","Inventory","doc","InventoryAccessService","A: legacy early return (InventoryAccessService.cs:48)","AnyRoleConfiguredAsync false -> return true BEFORE the action switch","per company - unconfigured company is open","ScopeBranchId IGNORED while open - branch scoping does not apply because the switch is never reached","no confidential tier","stock valuation and COGS follow stock documents","CREATES STOCK DOCUMENTS - receipts issues transfers","manage assigns inventory roles","inventory and warehouse screens","NOT logged - legacy early return has no log line","none","none - no screen shows bootstrap state","NEVER BOOTSTRAP OPEN","seed explicit policy then close doc purchase manage","RISK-040 stock movements are bootstrap-open today"
"BO-B03","Inventory","Inventory","purchase","InventoryAccessService","A: legacy early return (InventoryAccessService.cs:48)","AnyRoleConfiguredAsync false -> return true BEFORE the action switch","per company - unconfigured company is open","ScopeBranchId IGNORED while open - branch scoping does not apply because the switch is never reached","no confidential tier","stock valuation and COGS follow stock documents","creates purchase documents","manage assigns inventory roles","inventory and warehouse screens","NOT logged - legacy early return has no log line","none","none - no screen shows bootstrap state","NEVER BOOTSTRAP OPEN","seed explicit policy then close doc purchase manage","RISK-040 purchasing is bootstrap-open today"
"BO-B04","Inventory","Inventory","manage","InventoryAccessService","A: legacy early return (InventoryAccessService.cs:48)","AnyRoleConfiguredAsync false -> return true BEFORE the action switch","per company - unconfigured company is open","ScopeBranchId IGNORED while open - branch scoping does not apply because the switch is never reached","no confidential tier","stock valuation and COGS follow stock documents","warehouse setup costing method item master","manage assigns inventory roles","inventory and warehouse screens","NOT logged - legacy early return has no log line","none","none - no screen shows bootstrap state","NEVER BOOTSTRAP OPEN","seed explicit policy then close doc purchase manage","RISK-040 inventory administration is bootstrap-open today"
"BO-B05","Inventory","Inventory","warehouse-access (CanUseWarehouseAsync)","InventoryAccessService","A: legacy early return (InventoryAccessService.cs:91)","AnyRoleConfiguredAsync false -> return true, so EVERY warehouse is usable","per company - unconfigured company is open","WarehouseKeeper branch restriction NOT applied while open","no confidential tier","stock value moves in any warehouse","any warehouse reachable","none","warehouse pickers","NOT logged - legacy early return has no log line","none","none - no screen shows bootstrap state","NEVER BOOTSTRAP OPEN","close together with doc; warehouse scope must be enforced from first configuration","RISK-041 warehouse scope is unenforced while bootstrap-open"
