CapabilityId,PlatformOrModule,Capability,Description,CurrentStatus,ImplementationLevel,ProductionActivation,UIStatus,APIStatus,DatabaseStatus,TestEvidence,SecurityStatus,MultiTenantStatus,ReportingStatus,CommunicationStatus,MobileStatus,AIReadiness,Dependencies,BlockingDecision,RiskIds,RecommendedPhase,SourceEvidence
ACC-01,Accounting,General ledger and journal entries,JournalEntryService is the single GL writer; reversal-only corrections.,VerifiedComplete,Full,Active,Accounting views (66),AccountingApiController,Accounting entities (23),Stage 1 + hyper suites,Attribute + in-body,Per company,Statements,Events raised,None,Ledger data,PLT-01,D-01 read breadth,R-18,R10,BL/JournalEntryService.cs
ACC-02,Accounting,Receivables and sales invoicing,"Sales invoice creation, customer statements, receipts.",LegacyExisting,Full,Active,Accounting views,AccountingApiController,Accounting entities,Hyper + Stage 1,Partial - debt present,Per company,Statements,SalesInvoice.Created,None,Ledger data,ACC-01,D-01,R-19,R10,BL/ReceivableService.cs
ACC-03,Accounting,Payables and purchase invoicing,"Purchase invoices, vendor statements, GRNI.",LegacyExisting,Full,Active,Accounting views,None,Accounting entities,Hyper + Stage 1,Partial - debt present,Per company,Statements,Events raised,None,Ledger data,ACC-01,D-01,R-20,R10,BL/PayableService.cs
ACC-04,Accounting,Fixed assets and depreciation,"Asset register, depreciation, equipment depreciation for projects.",LegacyExisting,Full,Active,Accounting views,None,Accounting entities,Partial,Partial - debt present,Per company,Planned,None,None,None,ACC-01,None,R-21,R10,BL/FixedAssetService.cs
ACC-05,Accounting,Fiscal periods and closing,"Period control, year close and reopen (reopen depends on reversal).",LegacyExisting,Full,Active,Accounting views,None,Accounting entities,Partial,Partial,Per company,Planned,None,None,None,"ACC-01,PLT-02",None,R-22,R10,BL/ClosingService.cs
ACC-06,Accounting,Multi-currency and FX revaluation,"Currency rounding via ICurrencyRounding, revaluation posts reversals.",LegacyExisting,Full,Active,Currency views (4),None,Currency entities,Hyper suite,Partial,Per company,Planned,None,None,None,ACC-01,None,R-23,R10,BL/FxRevaluationService.cs; BL/CurrencyRounding.cs
ACC-07,Accounting,Financial statements,"Trial balance, P&L, balance sheet generation.",LegacyExisting,Full,Active,Accounting views,None,Derived,Partial,Partial,Per company,Candidate first dataset,None,None,Reporting source,"ACC-01,REP-01",D-35 first production dataset,R-24,R4,BL/FinancialStatementService.cs
ACC-08,Accounting,Accounting API security policy,Dedicated API authorization surface for accounting endpoints.,VerifiedComplete,Full,Active,None,AccountingApiController,None,Stage 1 suite,Enforcing,Per company,None,None,N/A,None,SEC-01,None,R-25,R0,BL/AccountingApiAuthorization.cs; ADR-025
AI-01,AI Platform,AI service,AI service and controller for assistant features.,Partial,Service + controller,Active,None,AiController,None,None identified,No AI-specific authorization,Per company,None,None,Planned,Core,PLT-01,D-27 AI governance,R-96,R12,BL/AiService.cs; Controllers/Api/AiController.cs
AI-02,AI Platform,AI insights,Insight generation over business data.,Partial,Service present,Active,None,None,None,None identified,No AI-specific authorization,Per company,Planned,None,Planned,Core,AI-01,D-27,R-97,R12,BL/AiInsightsService.cs
AI-03,AI Platform,AI governance,"Data-access policy, retention and audit for AI features.",BlockedByDecision,None,None,None,None,None,None,Unresolved,Unresolved,None,None,None,Blocking,AI-01,D-27,R-98,R12,No source
AUD-01,Audit and Compliance,Construction audit trail,Append-only audit for construction commercial changes.,VerifiedComplete,Scoped to construction,"Code active, DDL not applied",None,None,In construction_c1 DDL,38/38 C1 suite,Scoped,Per company,Planned,None,None,None,CON-01,D-19,R-102,R7,BL/Construction/ConstructionAuditService.cs
AUD-02,Audit and Compliance,Communication audit,Comm audit writer and entries.,FoundationComplete,Full,NOT activated,None,None,In slice 001,274/274,Scoped,Per company,Planned,Core,None,None,COM-08,D-07 per-entity audit policy,R-103,R2,BL/Communication/CommAuditWriter.cs; ADR-035
AUD-03,Audit and Compliance,Platform-wide audit and compliance,Unified audit surface across all modules with retention policy.,NotStarted,None,None,Not started,None,None,None,None,N/A,Planned,Planned,Planned,None,"AUD-01,AUD-02",D-06,R-104,R10,No source
CAL-01,Calendar,Calendar service,Calendar events and reminders; the one module using IStringLocalizer in the feature-module set.,Partial,Service + 1 view,Active,1 view only,None,calendar.sql,None identified,CalendarController,Per company,None,Reminder partial in layouts,Planned,None,PLT-01,D-25 Calendar ownership,R-65,R5,BL/CalendarService.cs; Controllers/CalendarController.cs
CAL-02,Calendar,Calendar workspace UI,Full calendar workspace with scheduling and cross-module events.,NotStarted,None,None,Not started,None,None,None,None,N/A,Planned,Planned,Planned,None,"CAL-01,TSK-05",D-25,R-66,R5,No source
COM-01,Communication and Collaboration,Threads and comments,Thread and comment services over a universal entity surface.,FoundationComplete,Full,NOT activated in Program.cs,None,None,"communication_platform_slice_001.sql, 14 tables",274/274 communication suite,CommAccessPolicy proved,Per company,Planned,Core,Planned,Comment corpus,PLT-03,D-05 privacy ceiling,R-78,R2,BL/Communication/CommThreadService.cs
COM-02,Communication and Collaboration,Mentions,@user and @role mention resolution.,FoundationComplete,Full,NOT activated,None,None,Included in slice 001,274/274,Permission boundary proved,Per company,None,Core,Planned,None,COM-01,D-15 @Role membership resolution,R-79,R2,BL/Communication/CommMentionService.cs; ADR-032
COM-03,Communication and Collaboration,"Notification channels, templates, preferences","Channel routing, templates and per-user preferences.",FoundationComplete,Full,NOT activated,None,None,Included in slice 001,274/274,Applied,Per company,Delivery target,Core,Planned,None,"COM-01,NOT-01",D-05,R-80,R2,BL/Communication/CommNotificationService.cs; ADR-034
COM-04,Communication and Collaboration,Timeline aggregation,Aggregated cross-entity activity timeline.,FoundationComplete,Full,NOT activated,None,None,Included in slice 001,274/274,Applied,Per company,None,Core,Planned,None,"COM-01,PLT-05",D-12 Task timeline ownership,R-81,R2,BL/Communication/CommTimelineAggregator.cs; ADR-036
COM-05,Communication and Collaboration,CommEntityRef and ICommEntitySurface,The common model by which any entity becomes commentable.,FoundationComplete,Full,NOT activated,None,None,N/A,274/274,Applied,Per company,None,Core contract,N/A,None,PLT-03,None,R-82,R2,BL/Communication/CommEntitySurface.cs; ADR-031
COM-06,Communication and Collaboration,Task and Support registration,Registering Tasks and Support as comm entity surfaces.,NotStarted,None,None,None,None,None,None,N/A,N/A,None,Blocking for SUP-02,None,None,"COM-05,TSK-01,SUP-01","D-12,D-13",R-83,R5,Not registered
COM-07,Communication and Collaboration,DocComments migration,Migrating legacy document comments into the platform.,BlockedByData,Plan only,Not executed,None,None,Migration not written,None,N/A,Per company,None,Required for single comment model,None,None,"COM-01,FIL-01",D-07 entity audit policy,R-84,R2,BL/DocCommentService.cs (legacy)
COM-08,Communication and Collaboration,Production activation,Program.cs registration and a hosted dispatch worker for the platform.,ImplementedNotActivated,Registration extension exists,NOT called in Program.cs,None,None,Slice authored not applied,274/274 in isolation,N/A,N/A,None,Blocking,None,None,COM-01,"D-05,D-06",R-85,R2,BL/Communication/CommunicationPlatformRegistration.cs
COM-09,Communication and Collaboration,Communication UI,"Threads, mentions inbox, notification centre.",NotStarted,None,None,Not started,None,None,None,None,N/A,Planned,Planned,Planned,None,COM-08,None,R-86,R3,No source
COM-10,Communication and Collaboration,Legacy Comm module,"Older Comm feature module: controller, 3 views, mail dispatcher hosted service. Distinct from the Communication Platform.",LegacyExisting,Full,Active - hosted service registered,Comm views (3),None,"comm_mail, comm_outbox slices",13 comm test files,CommunicationAccessService,Per company,None,Superseded by COM-01,None,None,None,D-06 retention policy,R-87,R2,BL/Comm/; Controllers/CommController.cs
CON-01,Construction and Contracting,Stable BOQ identity,Immutable BOQ line identity surviving revision (CR-01).,VerifiedComplete,Full,"Code active, DDL NOT applied",None,None,"construction_c1 DDL authored, 8 tables",38/38 C1 suite,Project-scoped,Per company,Planned,Planned,Planned,None,PRJ-01,D-19 DDL environment,R-48,R7,BL/BoqService.cs; ConstructionC1BoqIdentityTests
CON-02,Construction and Contracting,Subcontract certification cap,Certified value cannot exceed subcontract scope (CR-02).,VerifiedComplete,Full,"Code active, DDL NOT applied",None,None,construction_c1 DDL authored,38/38 C1 suite,Project-scoped,Per company,Planned,Planned,Planned,None,CON-01,D-19,R-49,R7,BL/Construction/SubcontractScopeService.cs
CON-03,Construction and Contracting,Immutable commercial revisions,Revision and line snapshots that never mutate history (CR-03).,VerifiedComplete,Full,"Code active, DDL NOT applied",None,None,construction_c1 DDL authored,38/38 C1 suite,Project-scoped,Per company,Planned,Planned,Planned,None,CON-01,D-19,R-50,R7,BL/Construction/CommercialRevisionService.cs
CON-04,Construction and Contracting,C1 production rollout,"Apply DDL, run measurement, record M3/M9, confirm D-08 default per company.",BlockedByData,N/A,Not executed,None,None,DDL authored not applied,Measurement script not run,N/A,Per company,None,None,None,None,"CON-01,CON-02,CON-03","D-19,D-20,D-21",R-51,R2,docs/construction/Stage-Construction-Contract-Mapping-Measurement.md
CON-05,Construction and Contracting,C2-C8 construction scope,"WBS, cost codes, budgets, commitments, site ops, DSR, RFI, document control, claims, delays, cash flow.",Deferred,None,None,Not started,None,None,None,None,N/A,Planned,Planned,Planned - site UX,None,CON-04,"D-24,D-25",R-52,R7,docs/construction/Stage-Construction-16-Implementation-Roadmap.md
