Entry date,Entry no.,Type,Source,Status,Posted at,Description
2026-09-21,,Manual,,Draft,,ZZ-DISCOVERY SOD-01 admin creates and immediately posts (above threshold)
2026-09-21,JV-2026-008530,Auto,FxRevaluation,Posted,2026-09-21 09:19:11,FX revaluation 2026-09-21
2026-09-21,JV-2026-008528,Auto,FixedAsset,Posted,2026-09-21 09:18:55,Acquisition FA-2026-2026
2026-09-21,JV-2026-008527,Auto,Transfer,Posted,2026-09-21 09:18:48,Internal cash transfer
2026-09-21,JV-2026-008526,Auto,PurchaseReturn,Posted,2026-09-21 09:17:07,Debit note DN-2026-03016
2026-09-21,JV-2026-008525,Auto,Inventory,Posted,2026-09-21 09:17:07,Stock movement: ZZ-MEAS-A - ZZ-MEAS-A
2026-09-21,JV-2026-008524,Auto,PurchaseInvoice,Posted,2026-09-21 09:17:01,Purchase invoice PI-2026-05074
2026-09-21,JV-2026-008523,Auto,SalesReturn,Posted,2026-09-21 09:15:16,Credit note CN-2026-04050
2026-09-21,JV-2026-008522,Auto,Receipt,Posted,2026-09-21 09:13:43,Receipt RC-2026-15486
2026-09-21,JV-2026-008521,Auto,Receipt,Posted,2026-09-21 09:13:04,Receipt RC-2026-15485
2026-09-21,JV-2026-008520,Auto,SalesInvoice,Posted,2026-09-21 09:12:57,Sales invoice SV-2026-17613
2026-09-21,JV-2026-008519,Auto,Payment,Posted,2026-09-21 09:12:50,Payment PY-2026-00009
2026-09-21,JV-2026-008518,Auto,Payment,Posted,2026-09-21 09:12:42,Payment PY-2026-00008
2026-09-21,JV-2026-008517,Auto,PurchaseInvoice,Posted,2026-09-21 09:12:35,Purchase invoice PI-2026-05073
2026-09-21,JV-2026-008516,Reversing,Reversal,Posted,2026-09-21 08:47:30,Reversal of JV-2026-008515
2026-09-21,JV-2026-008514,Reversing,Reversal,Posted,2026-09-21 08:47:08,Reversal of JV-2026-008513
2026-09-21,JV-2026-008515,Manual,,Reversed,2026-09-21 08:47:23,ZZ-DISCOVERY GL-01 September office rent
2026-09-21,JV-2026-008513,Manual,,Reversed,2026-09-21 08:47:00,ZZ-DISCOVERY GL-01 September office rent
2026-09-21,JV-2026-008512,Reversing,Reversal,Posted,2026-09-21 08:28:04,Reversal of JV-2026-008511
2026-09-21,JV-2026-008511,Manual,,Reversed,2026-09-21 08:27:54,ZZ-DISCOVERY GL-01 September office rent
2026-09-21,JV-2026-008510,Reversing,Reversal,Posted,2026-09-21 08:26:21,Reversal of JV-2026-008509
2026-09-21,JV-2026-008509,Manual,,Reversed,2026-09-21 08:26:13,ZZ-DISCOVERY GL-01 September office rent
2026-09-17,JV-2026-008487,Auto,SalesInvoice,Posted,2026-09-17 12:10:17,Sales invoice SV-2026-17583
2026-09-17,JV-2026-008406,Auto,SalesInvoice,Posted,2026-09-17 12:10:12,Sales invoice SV-2026-17494
2026-09-17,JV-2026-008294,Auto,SalesInvoice,Posted,2026-09-17 12:10:05,Sales invoice SV-2026-17390
2026-09-17,JV-2026-007932,Auto,SalesInvoice,Posted,2026-09-17 12:09:19,Sales invoice SV-2026-17027
2026-09-17,JV-2026-007340,Auto,SalesInvoice,Posted,2026-09-17 12:08:40,Sales invoice SV-2026-16420
2026-09-17,JV-2026-006977,Auto,SalesInvoice,Posted,2026-09-17 12:08:16,Sales invoice SV-2026-16043
2026-09-17,JV-2026-006836,Auto,SalesInvoice,Posted,2026-09-17 12:08:08,Sales invoice SV-2026-15909
2026-09-17,JV-2026-006803,Auto,SalesInvoice,Posted,2026-09-17 12:08:04,Sales invoice SV-2026-15867
2026-09-17,JV-2026-006374,Auto,SalesInvoice,Posted,2026-09-17 12:07:36,Sales invoice SV-2026-15373
2026-09-17,JV-2026-006221,Auto,SalesInvoice,Posted,2026-09-17 12:07:29,Sales invoice SV-2026-15229
2026-09-17,JV-2026-006145,Auto,SalesInvoice,Posted,2026-09-17 12:07:25,Sales invoice SV-2026-15153
2026-09-17,JV-2026-006074,Auto,SalesInvoice,Posted,2026-09-17 12:07:20,Sales invoice SV-2026-15083
2026-09-17,JV-2026-005992,Auto,SalesInvoice,Posted,2026-09-17 12:07:14,Sales invoice SV-2026-14994
2026-09-17,JV-2026-005656,Auto,SalesInvoice,Posted,2026-09-17 12:06:37,Sales invoice SV-2026-14650
2026-09-17,JV-2026-005074,Auto,SalesInvoice,Posted,2026-09-17 12:05:14,Sales invoice SV-2026-14090
2026-09-17,JV-2026-004019,Auto,SalesInvoice,Posted,2026-09-17 12:03:27,Sales invoice SV-2026-13004
2026-09-16,JV-2026-007870,Auto,SalesInvoice,Posted,2026-09-17 12:09:16,Sales invoice SV-2026-16973
2026-09-16,JV-2026-007120,Auto,Receipt,Posted,2026-09-17 12:08:26,Receipt RC-2026-14345
2026-09-16,JV-2026-006967,Auto,Receipt,Posted,2026-09-17 12:08:16,Receipt RC-2026-14218
