principal_entity,dependent_entity,foreign_key_columns,required,ef_delete_behavior,sql_server_result,production_behavior,classification,recommended_action
Branch,Employee,BranchID,optional,Restrict,accepted,FK enforced by hand-written SQL where present,matches intent,none
BusinessEvent,BusinessEventDispatch,EventId,required,Restrict,accepted,FK enforced by hand-written SQL where present,matches intent,none
CommercialRevision,CommercialRevisionLine,CommercialRevisionId,required,Cascade,accepted,FK enforced by hand-written SQL where present,EF default cascade - model authority only,none
Companies,Branch,CompanyID,required,Cascade,accepted,FK enforced by hand-written SQL where present,EF default cascade - model authority only,none
Companies,Companies,ParentCompany,optional,Restrict,accepted,FK enforced by hand-written SQL where present,matches intent,none
Companies,Employee,EmpCompanyID,required,Restrict,accepted,FK enforced by hand-written SQL where present,matches intent,none
CompanyType,Companies,CompanyTypeId,required,Restrict,accepted,FK enforced by hand-written SQL where present,matches intent,none
CountriesLookup,Branch,CountryID,required,Cascade,REJECTED SQL 1785 multiple cascade paths,FK enforced by hand-written SQL where present,EF DDL generation issue only,OnDelete(NoAction) to match the database
CountriesLookup,Companies,CountryID,required,Cascade,accepted,FK enforced by hand-written SQL where present,EF default cascade - model authority only,none
CountriesLookup,Employee,CountryID,optional,Restrict,accepted,FK enforced by hand-written SQL where present,matches intent,none
DeliveryNote,DeliveryNoteLine,DeliveryNoteId,required,Cascade,accepted,FK enforced by hand-written SQL where present,EF default cascade - model authority only,none
DepreciationRun,DepreciationLine,DepreciationRunId,required,Cascade,accepted,FK enforced by hand-written SQL where present,EF default cascade - model authority only,none
Employee,LeaveApprovalStep,ApproverEmployeeID,required,Cascade,accepted,FK enforced by hand-written SQL where present,EF default cascade - model authority only,none
Employee,LeaveRequest,EmployeeID,required,Restrict,accepted,FK enforced by hand-written SQL where present,matches intent,none
Employee,Notification,RecipientEmployeeID,required,Restrict,accepted,FK enforced by hand-written SQL where present,matches intent,none
Employee,PolicyAssignments,EmployeeID,required,Cascade,accepted,FK enforced by hand-written SQL where present,EF default cascade - model authority only,none
EmployeeRequest,EmployeeRequestStep,EmployeeRequestID,required,Cascade,accepted,FK enforced by hand-written SQL where present,EF default cascade - model authority only,none
GoodsReceipt,GoodsReceiptLine,GoodsReceiptId,required,Cascade,accepted,FK enforced by hand-written SQL where present,EF default cascade - model authority only,none
Hierarchical,Hierarchical,H_Parent,optional,Restrict,accepted,FK enforced by hand-written SQL where present,matches intent,none
