Path,Change,Role,Purpose,Bytes,Lines,SHA256
CrossBuy/BL/TasksCalendar/TaskCalendarTime.cs,CREATED,production-source,"Shared time model: UTC storage, explicit offsets, all-day as a local date, explicit tz failure",10564,220,e15d360831981250e3afc3195b95157ab58c5921ed80dc581fbb06f6224ac71d
CrossBuy/BL/TasksCalendar/TaskCalendarIntegrationContracts.cs,CREATED,production-source,Registry onboarding requests (Phases 3-4) + 18 versioned business-event contracts (Phases 5-6),20441,431,641a6d7d919c8437805b4f71e680fa36e0135c350000eb4fa010e4121ca068cd
CrossBuy/BL/TasksCalendar/TaskNotificationService.cs,CREATED,production-source,"Direct Task notifications over the existing INotificationService, idempotent per occurrence",15223,294,6eda0e6e893849c07450880bbe592cf4805856d4eb784ca9c59b8a494dc27066
CrossBuy/BL/TasksCalendar/TaskOverdueSweepService.cs,CREATED,production-source,"Overdue detection with ONE owner; hosted by the existing TM-7 worker, no third worker",5052,121,b7e2b0537ebeece0fd0e7cc7aa5f2e918b1e909987a3f562fce35a24d58b560a
CrossBuy/BL/TasksCalendar/WorkspaceAgendaService.cs,CREATED,production-source,"Read-only Tasks+Calendar agenda union; no CalendarEvent materialisation, no DbContext",12128,298,2b314d8e933537ab90a484678944be705047ab1f9779a4fe382571c1f98ec932
CrossBuy/BL/TaskGeneratorHostedService.cs,MODIFIED,production-source,"Hosts the overdue sweep inside its existing per-company scope, in its own try/catch",3810,74,29c466d1cb8902e9e577b07a99514e83f08eee44ac4058f0adc7aa2e1e365b88
CrossBuy/Program.cs,MODIFIED,production-source-shared,3 AddScoped registrations for the TasksCalendar services (additive),42636,641,4116b550ba770bd4358684a01db984c73e4464e6c67bf910ac95bb2fe6f165bd
CrossBuy.Tests/TasksCalendarIntegrationTests.cs,CREATED,test,17 tests: notifications (11) + overdue sweep (6),19553,439,d9d41fcbcb6945932527c0d87320ce22ed9680cdde9c38c7cb0195b034f6e28a
CrossBuy.Tests/TasksCalendarTimeAndContractTests.cs,CREATED,test,24 tests: time model (13) + registry/event contracts (11),17815,388,1001d4b9f8fbf92cbac7339e4cbeb0cc96b2da6cf42eec105fb53f0af5a4f6be
CrossBuy.Tests/TasksCalendarAgendaTests.cs,CREATED,test,"16 tests: workspace agenda union, redaction, ordering, paging",18752,369,0503c66a55c4b7cf9fe43af5a2f41ae569a266dc72c3efb695c4cceefb9c5c07
docs/tasks-calendar-integration/Stage-Tasks-Calendar-Integration-01-Current-State.md,CREATED,document,Current state and what was not touched,5278,74,5a8ae86c879157a86e6d19fb7748bb6aeab755ce4cdf1c01891127330873980c
docs/tasks-calendar-integration/Stage-Tasks-Calendar-Integration-02-Notification-Design.md,CREATED,document,"Notification design, idempotency, authorization",5570,101,9e67048e8567b226306733dee8509ed2f414b0c8d9cd494bc862eacff99ec09c
docs/tasks-calendar-integration/Stage-Tasks-Calendar-Integration-03-Registry-Onboarding.md,CREATED,document,Task + CalendarEvent onboarding contracts,4303,71,937c6cddf29e560c5d9a650e5861423f665cd5ba2331df0e0d4351f6a54a24f8
docs/tasks-calendar-integration/Stage-Tasks-Calendar-Integration-04-Business-Events.md,CREATED,document,18 versioned event contracts and their classification,2948,60,56419ec30b5174a6e2f20dea615335e183c266f06631444e7a48c054e4363b44
docs/tasks-calendar-integration/Stage-Tasks-Calendar-Integration-05-Time-Model.md,CREATED,document,The twelve time rules and the legacy remediation order,4396,76,8908aa79c292488609b278aecd8cd99b61c0856507fba84c8db4923053751f9f
docs/tasks-calendar-integration/Stage-Tasks-Calendar-Integration-06-Workspace-Agenda.md,CREATED,document,Agenda contract and the TAB 3 handover,4111,76,e1d6e0b6d80babca8951198541d05955ea5388b9927f203b9190fd4f3a4a9e9a
docs/tasks-calendar-integration/Stage-Tasks-Calendar-Integration-07-Test-Evidence.md,CREATED,document,57 tests mapped to the Phase 10 requirements,6418,100,64b21bb2798fa0ad61c3fe5081f3f4299d5dba837c5d1d328063356f7c9aa6e3
docs/tasks-calendar-integration/Stage-Tasks-Calendar-Integration-08-Open-Decisions.md,CREATED,document,7 explicit open decisions,5301,118,dbbb8d4456184e6ecbb0d92330961b1d9acf08c52a1a7acc4847c93f2be37cf2
docs/tasks-calendar-integration/Stage-Tasks-Calendar-Integration-Delivery-Report.md,CREATED,document,Delivery report and completion gate,8948,147,fa813fc4c894c360291a5e70f32af85029dcbde4075194889a17e1029ed6a683
docs/tasks-calendar-integration/Stage-Tasks-Calendar-Integration-Preservation-Report.md,CREATED,document,"Hashes, archive, restore verification",3708,79,5a39468e75862c3e2eaadb435d7c5994864746fe574a422cb72171dc9289bd0c
docs/tasks-calendar-integration/_generator/generate_tci_manifest.py,CREATED,tooling,This script,9660,193,b4d1efb2404c1cc9dfb42da5c12bcc1bf225a3d58d889b88b78c904f5b5184cd
