area,capability,declared_source_types,declared_in_code,entries_in_isolated_db,executed_by_this_discovery,status
A Foundations,Company and branch accounting context,(none - configuration area),no,none,no,Implemented but unverified (configuration/screen area; no ledger source type)
A Foundations,"Financial years, periods, locks and closing rules",(none - configuration area),no,none,no,Implemented and runtime verified (screen rendered); no posting executed
A Foundations,"Chart of accounts, account types, control accounts",(none - configuration area),no,none,no,Implemented and runtime verified (screen rendered); no posting executed
A Foundations,Cost centres and analytical dimensions,(none - configuration area),no,none,no,Implemented but unverified (configuration/screen area; no ledger source type)
A Foundations,"Functional and transaction currencies, rates, precision",(none - configuration area),no,none,no,Implemented but unverified (configuration/screen area; no ledger source type)
A Foundations,"Tax configuration, inclusive/exclusive, rounding",(none - configuration area),no,none,no,Implemented but unverified (configuration/screen area; no ledger source type)
A Foundations,Document numbering,(none - configuration area),no,none,no,Implemented and runtime verified (screen rendered); no posting executed
A Foundations,Opening GL balances,OpeningGL,OpeningGL,none,no,"Implemented but unverified (posting path declared in code, no data, not executed)"
A Foundations,Opening customer balances,OpeningARBalance,OpeningARBalance,none,no,"Implemented but unverified (posting path declared in code, no data, not executed)"
A Foundations,Opening supplier balances,OpeningAPBalance,OpeningAPBalance,none,no,"Implemented but unverified (posting path declared in code, no data, not executed)"
A Foundations,Opening stock,OpeningStock,OpeningStock,OpeningStock=148,no,"Implemented, evidenced by existing ledger data; NOT executed here"
A Foundations,Opening assets,OpeningAsset,OpeningAsset,none,no,"Implemented but unverified (posting path declared in code, no data, not executed)"
B General ledger,Manual journals,Manual,no,Manual=3,Manual,Implemented and runtime verified (executed by this discovery)
B General ledger,Draft / post separation,Manual,no,Manual=3,Manual,Implemented and runtime verified (executed by this discovery)
B General ledger,Reversal of a posted entry,Reversal,Reversal,Reversal=321,Reversal,Implemented and runtime verified (executed by this discovery)
B General ledger,Adjustment journals,Adjustment,Adjustment,none,no,"Implemented but unverified (posting path declared in code, no data, not executed)"
B General ledger,Closed-period handling,(none - configuration area),no,none,no,Implemented and runtime verified (screen rendered); no posting executed
C Purchasing & payables,Purchase invoice,PurchaseInvoice,PurchaseInvoice,PurchaseInvoice=121,PurchaseInvoice,Implemented and runtime verified (executed by this discovery)
C Purchasing & payables,Purchase invoice edit (re-post),PurchaseInvoiceEdit,PurchaseInvoiceEdit,none,no,"Implemented but unverified (posting path declared in code, no data, not executed)"
C Purchasing & payables,Goods receipt / GRNI timing difference,Inventory,Inventory,Inventory=967,Inventory,Implemented and runtime verified (executed by this discovery)
C Purchasing & payables,Landed costs,LandedCost,LandedCost,LandedCost=1,no,"Implemented, evidenced by existing ledger data; NOT executed here"
C Purchasing & payables,Supplier payment and allocation,Payment,Payment,Payment=4,Payment,Implemented and runtime verified (executed by this discovery)
