"legacy_source","legacy_role","target_scope","target_role_code","branch_behavior","company_behavior","action_mapping","migration_eligibility","conflict_risk","required_validation","rollback_mapping","status"
"AccountingUserRoles","ChiefAccountant","Accounting","ChiefAccountant","n/a - no branch scope","CompanyID copied verbatim","read post pay manage currency-override","Eligible","Low - one row per employee+role","role code must exist in AccountingAccessService role set","legacy row retained; flip cutover flag to Legacy","Designed - not executed"
"AccountingUserRoles","Accountant","Accounting","Accountant","n/a - no branch scope","CompanyID copied verbatim","read post","Eligible","Low - one row per employee+role","role code must exist in AccountingAccessService role set","legacy row retained; flip cutover flag to Legacy","Designed - not executed"
"AccountingUserRoles","Cashier","Accounting","Cashier","n/a - no branch scope","CompanyID copied verbatim","read pay","Eligible","Low - one row per employee+role","role code must exist in AccountingAccessService role set","legacy row retained; flip cutover flag to Legacy","Designed - not executed"
"AccountingUserRoles","Auditor","Accounting","Auditor","n/a - no branch scope","CompanyID copied verbatim","read","Eligible","Low - one row per employee+role","role code must exist in AccountingAccessService role set","legacy row retained; flip cutover flag to Legacy","Designed - not executed"
"InventoryUserRoles","InventoryManager","Inventory","InventoryManager","company-wide - ScopeBranchId NULL","CompanyID copied verbatim","read doc purchase manage","Eligible","Medium - ScopeBranchId must map exactly","ScopeBranchId preserved; company-wide must not be substituted","legacy row retained; flip cutover flag to Legacy","Designed - not executed"
"InventoryUserRoles","WarehouseKeeper","Inventory","WarehouseKeeper","ScopeBranchId REQUIRED - copied one-to-one","CompanyID copied verbatim","read doc","Eligible","Medium - ScopeBranchId must map exactly","ScopeBranchId preserved; company-wide must not be substituted","legacy row retained; flip cutover flag to Legacy","Designed - not executed"
"CrmUserRoles","SalesManager","CRM","SalesManager","n/a","CompanyID copied verbatim","read edit manage over own plus team","Eligible","Medium - owner and team breadth must stay computed","VisibleOwnerIdsAsync behaviour unchanged after migration","legacy row retained; flip cutover flag to Legacy","Designed - not executed"
"CrmUserRoles","SalesRep","CRM","SalesRep","n/a","CompanyID copied verbatim","read edit over own records","Eligible","Medium - owner and team breadth must stay computed","VisibleOwnerIdsAsync behaviour unchanged after migration","legacy row retained; flip cutover flag to Legacy","Designed - not executed"
"CrmUserRoles","Marketing","CRM","Marketing","n/a","CompanyID copied verbatim","read across company","Eligible","Medium - owner and team breadth must stay computed","VisibleOwnerIdsAsync behaviour unchanged after migration","legacy row retained; flip cutover flag to Legacy","Designed - not executed"
"CrmUserRoles","CrmViewer","CRM","CrmViewer","n/a","CompanyID copied verbatim","read across company","Eligible","Medium - owner and team breadth must stay computed","VisibleOwnerIdsAsync behaviour unchanged after migration","legacy row retained; flip cutover flag to Legacy","Designed - not executed"
"PlatformRoleAssignments","HrManager HrOfficer PayrollOfficer HrViewer","HR","unchanged","n/a","already company-scoped","HrActions unchanged","ALREADY NATIVE - no migration","None for storage; CRITICAL that a writer exists","Grant Writer must exist before Wave 2 gates HR endpoints","n/a - no migration","Blocked on Grant Writer (RISK-037)"
"PlatformRoleAssignments","ProjectsAdministrator ProjectsFinance ProjectsViewer","Projects","unchanged","n/a","already company-scoped","ProjectsActions unchanged","ALREADY NATIVE - no migration","None for storage","Grant Writer required; ProjectMembers stays separate","n/a","Blocked on Grant Writer (RISK-037)"
"PlatformRoleAssignments","TasksAdministrator TasksSupervisor TasksViewer","Tasks","unchanged","n/a","already company-scoped","TasksActions; Own/Team/Company breadth stays computed","ALREADY NATIVE","None","AccessScope breadth must remain computed not stored","n/a","Native"
"PlatformRoleAssignments","CommunicationAdministrator AnnouncementPublisher OutboxOperator","Communication","unchanged","ScopeBranchId used for announcement audience","already company-scoped","CommunicationActions unchanged","ALREADY NATIVE","None","ConversationMembers must stay separate","n/a","Native"
"BranchUserRoles","pos-cashier pos-manager pos-waiter pos-kitchen","POS","NOT MIGRATED","BranchId is the owner","no CompanyID on the table","POS predicates unchanged","EXCLUDED - sanctioned exception","High if forced - circular dependency at lane login","POS login must keep working unchanged","n/a - never migrated","Excluded by design"
"ProjectMembers","project membership","n/a","NOT A ROLE","n/a","project row is the authority","membership rules stay in ProjectsAccessService","EXCLUDED - business membership","High if migrated","must remain a separate relationship","n/a","Excluded by design"
"ConversationMembers","conversation membership and Owner","n/a","NOT A ROLE","n/a","via parent conversation","membership rules stay in CommunicationAccessService","EXCLUDED - business membership","High if migrated","must remain a separate relationship","n/a","Excluded by design"
"AspNetRoles / AspNetUserRoles","Admin Administrator SuperAdmin PlatformOps","n/a","NOT MERGED","n/a","global","PlatformOpsAttribute unchanged","EXCLUDED - identity role","Medium if merged","separate console view","n/a","Excluded by design"
