"source_id","entity_or_table","purpose","readers","writers","screens","apis","tests","company_scope","branch_scope","lifecycle","source_of_truth_status","duplicated_fields","historical_dependency","migration_suitability","security_behavior","classification","risks"
"MD-001","Item","the master record - 39 properties covering identity units costing tracking pricing and storefront","every module: StockService PricingService PosOrderService ManufService ProcurementService SellingService","InventoryController ItemService DevSeed","ItemForm and inventory lists","InventoryApiController","inventory and POS tests","CompanyID direct","none","IsActive only - no lifecycle states","AUTHORITATIVE for operational identity","Barcode duplicates ItemBarcode; ImagePath duplicates ItemImage; 5 Store* fields are channel presentation","stock cost layers and movements reference ItemId forever","Extend - never replace","InvPerm read/doc/manage; 267 hardcoded company refs in InventoryController","Authoritative","RISK-003 company constants; RISK-018 four overlapping type signals"
"MD-002","Item.Barcode (column)","the PRIMARY barcode - unique per company","PosOrderService barcode scan; InventoryController lookups; label printing","InventoryController ItemService","ItemForm barcode field","InventoryApiController lookup","POS scan tests","unique within CompanyID","none","lives with the Item","LEGACY COMPATIBILITY - remains the primary designation","same fact as an ItemBarcode row","72 field references across BL and Controllers","KEEP - do not delete in Phase 0","read on the scan path","Legacy Compatibility","RISK-009 two sources for one fact"
"MD-003","ItemBarcode (table)","SECONDARY and per-UoM barcodes - Barcode plus UoMId","PosOrderService (UoMId drives the sold unit); InventoryController","InventoryController; DevSeed","barcode management views (4)","InventoryApiController","hyper scan tests","via parent Item CompanyID","none","rows added and removed freely","AUTHORITATIVE for multi-barcode and per-UoM resolution","Barcode value also on Item","43 table references; UoMId selects the SOLD UNIT","TARGET for consolidation","gated by the BarcodeMulti capability; AMBIGUOUS barcode is EXPLICITLY REJECTED","Authoritative","RISK-046 a barcode migration that changes the selected UoM would change sale quantity"
"MD-004","Item.ImagePath (column)","single legacy image path","storefront and item lists","InventoryController ItemService","ItemForm","none","none","with the Item","none","with the Item","LEGACY COMPATIBILITY","same fact as an ItemImage row","legacy screens read it directly","KEEP - do not delete in Phase 0","static path - not an authorization model","Legacy Compatibility","RISK-010 two sources; RISK-012 static paths are not a security model"
"MD-005","ItemImage (table)","image collection for an item","item detail and storefront","InventoryController","1 view","none","none","via parent Item","none","rows added and removed","AUTHORITATIVE for the gallery once a primary is designated","ImagePath duplicates the primary","low","TARGET for consolidation","must inherit authorization from the parent Item via 2B attachments","Authoritative","RISK-012 file authorization"
"MD-006","Item Store* fields (StoreOldPrice StoreBadge StoreRating StoreVendor StoreHoverImage)","storefront presentation on the operational master record","StoreController and storefront views","InventoryController ItemService","store views","store APIs","none","with the Item","none","with the Item","CHANNEL-SPECIFIC - wrong owner","presentation concerns inside operational master data","storefront rendering depends on them","Separate into Commerce Presentation - no data movement in Phase 0","no channel-level authorization exists","Channel-Specific","RISK-011 presentation coupled to operational master data"
"MD-007","ItemComponent","composite composition - parent to component with SortOrder","StockService:319 and :1189 kit explosion; PricingService:311 manufactured classification; PosOrderService:302 and :1746 sale-time explosion; ManufService; PosSetupService","InventoryController; DevSeed","composite designer view","InventoryApiController","composite and POS tests","CompanyID on the row","none","rows added and removed; NO revision history","AUTHORITATIVE and LOAD-BEARING","CompositeType and ProductionMethod overlap with ItemType","historical costs depend on explosion behaviour at the time of sale","Extend with typing and revisions - NEVER reclassify historical rows","InvPerm manage","Authoritative","RISK-033 load-bearing in the two-writer core; RISK-047 no revision history so historical explosions cannot be reproduced"
"MD-008","Item.CompositeType","kit or bundle or sales-BOM discriminator","StockService PosOrderService PricingService","InventoryController","composite designer","none","composite tests","with the Item","none","with the Item","AMBIGUOUS - overlaps ItemType IsComposite ProductionMethod","four overlapping type signals","behaviour differs per value historically","Clarify semantics without changing stored values","InvPerm manage","Ambiguous","RISK-018 terminology"
"MD-009","Item.ProductionMethod","how a manufactured item is produced","ManufService PosOrderService","InventoryController","manufacturing views","none","manuf tests","with the Item","none","with the Item","AMBIGUOUS - overlaps CompositeType","overlaps composite typing","RecipeAtSale backflush depends on it","Clarify - meaning narrows to manufactured items only","InvPerm doc","Ambiguous","RISK-018"
"MD-010","UnitOfMeasure","unit definitions","StockService ItemService PosOrderService IntegrityCheckService","none in production - reference data","11 views","InventoryApiController","conversion tests","company or global reference","none","stable reference data","AUTHORITATIVE","none","every historical quantity is expressed in a unit","Preserve - extend with Unit Sets","InvPerm manage","Authoritative","none"
"MD-011","UoMConversion","per-item conversion - ItemId From To Factor","StockService:236; PosOrderService:547; ItemService; IntegrityCheckService (validates them); InventoryApiController","InventoryController; DevSeed","conversion designer","InventoryApiController","conversion and POS tests","via parent Item","none","rows added and removed; NO validity dates","AUTHORITATIVE","none","HIGH - a unit with NO conversion is REJECTED at add-line and NEVER defaulted to factor 1","Extend with Unit Sets and validity - factors must not change","InvPerm manage","Authoritative","RISK-048 a conversion redesign that introduces a factor-1 fallback would silently change sale quantities"
