message_id,kind,source,english,arabic,french,translated,evidence,where
MSG-A line cannot be both a debit and a credit,failure,SharedResources,A line cannot be both a debit and a credit,لا يمكن أن يكون السطر مدينًا ودائنًا في آنٍ واحد,Une ligne ne peut être à la fois au débit et au crédit,yes,repository-verified,Resources/SharedResources.*.resx
MSG-An entry that is already posted or cancelled cannot be posted,failure,SharedResources,An entry that is already posted or cancelled cannot be posted,لا يمكن ترحيل قيد مُرحَّل أو ملغي بالفعل,Une écriture déjà comptabilisée ou annulée ne peut pas être comptabilisée,yes,repository-verified,Resources/SharedResources.*.resx
MSG-An entry that is not posted cannot be reversed,failure,SharedResources,An entry that is not posted cannot be reversed,لا يمكن عكس قيد غير مُرحَّل,Une écriture non comptabilisée ne peut pas être extournée,yes,repository-verified,Resources/SharedResources.*.resx
MSG-An error occurred,failure,SharedResources,An error occurred,حدث خطأ,Une erreur est survenue,yes,repository-verified,Resources/SharedResources.*.resx
MSG-An error occurred while saving.,failure,SharedResources,An error occurred while saving.,حدث خطأ أثناء الحفظ.,Une erreur s'est produite lors de l'enregistrement.,yes,repository-verified,Resources/SharedResources.*.resx
MSG-An error occurred: ,failure,SharedResources,An error occurred:,حدث خطأ:,Une erreur s'est produite :,yes,repository-verified,Resources/SharedResources.*.resx
MSG-An unexpected error occurred while saving.,failure,SharedResources,An unexpected error occurred while saving.,حدث خطأ غير متوقع أثناء الحفظ.,Une erreur inattendue s'est produite lors de l'enregistrement.,yes,repository-verified,Resources/SharedResources.*.resx
MSG-An unexpected error occurred.,failure,SharedResources,An unexpected error occurred.,حدث خطأ غير متوقع.,Une erreur inattendue s'est produite.,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Appraisal not found,empty-state,SharedResources,Appraisal not found,التقييم غير موجود,Évaluation introuvable,yes,repository-verified,Resources/SharedResources.*.resx
MSG-ApprovalRequired,validation,SharedResources,Approval Required,يتطلب موافقة,Approbation requise,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Balance sheet balanced detail,failure,SharedResources,Total assets exactly match total liabilities and equity with no differences. The financial position is balanced as of the selected date.,إجمالي الأصول مطابق تمامًا لإجمالي الالتزامات وحقوق الملكية، ولا توجد أي فروق. المركز المالي متّزن للتاريخ المحدد.,"Le total de l'actif correspond exactement au total du passif et des capitaux propres, sans écart. La position financière est équilibrée à la date sélectionnée.",yes,repository-verified,Resources/SharedResources.*.resx
MSG-Balance sheet not balanced detail,validation,SharedResources,There is a difference between total assets and total liabilities and equity that must be reviewed and corrected.,يوجد فرق بين إجمالي الأصول وإجمالي الالتزامات وحقوق الملكية يجب مراجعته وتصحيحه.,Il existe un écart entre le total de l'actif et le total du passif et des capitaux propres qui doit être vérifié et corrigé.,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Balanced notice detail,failure,SharedResources,Total debit balances match total credit balances exactly with no differences. Accounting entries are consistent for the selected period.,إجمالي الأرصدة المدينة مطابق تمامًا لإجمالي الأرصدة الدائنة، ولا توجد أي فروق. القيود المحاسبية سليمة ومتّزنة للفترة المحددة.,"Le total des soldes débiteurs correspond exactement au total des soldes créditeurs, sans aucun écart. Les écritures sont cohérentes pour la période sélectionnée.",yes,repository-verified,Resources/SharedResources.*.resx
MSG-Branch not found,empty-state,SharedResources,Branch not found,الفرع غير موجود,Succursale introuvable,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Campaign not found,empty-state,SharedResources,Campaign not found,الحملة غير موجودة,Campagne introuvable,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Cannot determine the currency for value rounding (no document currency and no company functional currency).,failure,SharedResources,Cannot determine the currency for value rounding (no document currency and no company functional currency).,تعذّر تحديد العملة لتقريب القيمة (لا عملة على المستند ولا عملة وظيفية للشركة).,(missing — English key shown),NO,repository-verified,Resources/SharedResources.*.resx
MSG-Cash decrease detail,validation,SharedResources,"Cash outflows exceeded inflows, so the closing cash balance is lower than the opening balance.",تجاوزت التدفقات النقدية الخارجة التدفقات الداخلة، فانخفض رصيد النقدية بنهاية الفترة عن بدايتها.,Les sorties de trésorerie ont dépassé les entrées : le solde de clôture est inférieur au solde d ouverture.,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Cash increase detail,validation,SharedResources,"Cash inflows exceeded outflows, so the closing cash balance is higher than the opening balance.",تجاوزت التدفقات النقدية الداخلة التدفقات الخارجة، فزاد رصيد النقدية بنهاية الفترة عن بدايتها.,Les entrées de trésorerie ont dépassé les sorties : le solde de clôture est supérieur au solde d ouverture.,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Category not found,empty-state,SharedResources,Category not found,الفئة غير موجودة,Catégorie introuvable,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Course not found,empty-state,SharedResources,Course not found,الدورة غير موجودة,Formation introuvable,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Currency #{0} is undefined or has no decimal precision — silent 2-decimal rounding is not allowed.,refusal,SharedResources,Currency #{0} is undefined or has no decimal precision — silent 2-decimal rounding is not allowed.,العملة رقم {0} غير معرّفة أو بلا دقّة عشرية — لا يُسمح بتقريب صامت إلى خانتين.,(missing — English key shown),NO,repository-verified,Resources/SharedResources.*.resx
MSG-Currency not found,empty-state,SharedResources,Currency not found,العملة غير موجودة,Devise introuvable,yes,repository-verified,Resources/SharedResources.*.resx
MSG-DeductionOnLimitExceeded,validation,SharedResources,Deduction on Limit Exceeded,خصم عند التجاوز,Retenue en cas de dépassement de la limite,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Delete failed,failure,SharedResources,Delete failed,تعذّر الحذف,Échec de la suppression,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Device not found,empty-state,SharedResources,Device not found,الجهاز غير موجود,Appareil introuvable,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Dining area not found,empty-state,SharedResources,Dining area not found,الصالة غير موجودة,Espace de restauration introuvable,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Document not found,empty-state,SharedResources,Document not found,المستند غير موجود,Document introuvable,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Email is required,validation,SharedResources,Email is required,البريد الالكتروني مطلوب,L'e-mail est obligatoire,yes,repository-verified,Resources/SharedResources.*.resx
"MSG-Every line must be either a debit or a credit (not both, and not neither)",validation,SharedResources,"Every line must be either a debit or a credit (not both, and not neither)",كل سطر يجب أن يكون مدينًا أو دائنًا — لا الاثنين ولا ولا واحد,"Chaque ligne doit être soit au débit soit au crédit (ni les deux, ni aucun)",yes,repository-verified,Resources/SharedResources.*.resx
MSG-ExternalNoAccount,empty-state,SharedResources,No CrossBuy account is linked to that address. Ask your administrator to create one.,لا يوجد حساب CrossBuy مرتبط بهذا البريد. اطلب من مدير النظام إنشاء حساب لك.,Aucun compte CrossBuy n'est lié à cette adresse. Demandez-en un à votre administrateur.,yes,repository-verified,Resources/SharedResources.*.resx
MSG-ExternalSignInFailed,failure,SharedResources,That sign-in did not complete. Please try again.,لم يكتمل تسجيل الدخول. حاول مرة أخرى.,La connexion n'a pas abouti. Veuillez réessayer.,yes,repository-verified,Resources/SharedResources.*.resx
MSG-FillRequiredFields,validation,SharedResources,FillRequiredFields,اكمل الحقول المطلوبة !,Veuillez remplir les champs obligatoires,yes,repository-verified,Resources/SharedResources.*.resx
MSG-FillRequiredFieldsForParentCompany,validation,SharedResources,Fill Required Fields ForParent Company,قم بإختيار الشركة الام للشركة الحالية !,Veuillez remplir les champs obligatoires pour la société mère,yes,repository-verified,Resources/SharedResources.*.resx
MSG-First name is required,validation,SharedResources,First name is required,الاسم الاول مطلوب,Le prénom est obligatoire,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Internal error:,failure,SharedResources,Internal error:,خطأ داخلي:,Erreur interne :,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Invalid data,validation,SharedResources,Invalid data,بيانات غير صحيحة,Données non valides,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Invalid email format,validation,SharedResources,Invalid email format,صيغة البريد الالكتروني غير صحيحة,Format d'e-mail non valide,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Invalid exchange rate data,validation,SharedResources,Invalid exchange rate data,بيانات سعر الصرف غير صحيحة,Données de taux de change non valides,yes,repository-verified,Resources/SharedResources.*.resx
