ID,Severity,Probability,Impact,Evidence,AffectedScope,Mitigation,Owner,Status,Gate
CR-01,Critical,High,BOQ full-replace orphans certified history and can re-bill work already billed,"BL/BoqService.cs:108-109 deletes every BoqItem of the project and re-inserts with NEW IDs; BL/ProgressBillingService.cs:77-85 keys previously-billed value by BoqItemId. After a re-save the previously-billed lookup finds nothing, so period value = full cumulative again.","BOQ, client certificates, budget report, progress","Replace ReplaceAllAsync with revision-based editing; forbid delete/reinsert once any progress, certificate or issue references an item.",Construction owner + Commercial,Open,C2 gate
CR-02,Critical,High,Subcontractor over-certification is unbounded,BL/SubcontractBillingService.cs:80 computes W = cumulative - previouslyBilled with NO comparison to Subcontract.ContractValue and no scope lines; SubcontractBilling has no line detail at all (Models/Context/Accounting/Subcontract.cs:20-44).,"Subcontract certificates, AP, project cost",Introduce SubcontractScope with quantity/rate and cap cumulative certified per scope line; block or require approval above the cap.,Commercial,Open,C3 gate
CR-03,Critical,Medium,Variation approval overwrites contractual BOQ values in place,BL/VariationOrderService.cs:128 sets it.Quantity/it.UnitPrice on the live BoqItem; the only trace is OldQuantity/OldUnitPrice on the VO line (Models/Context/Accounting/VariationOrder.cs:44-45). Certificates that already used the old rate keep no snapshot (ProgressBillingLine has no revision column).,"BOQ, variations, all prior certificates",Variation approval must emit a BoqRevision; certificate lines must store the BoqRevisionId they were certified against.,Commercial,Open,C7 gate
CR-04,High,High,Client certificate posting is not atomic,"BL/ProgressBillingService.cs:202-258 — invoice, retention receipt and advance-recovery receipt are three separate calls with no ambient transaction (no ScopedTx in the file). A failure at step 3 leaves a posted invoice and a posted retention receipt with the certificate still 'Approved'.","Accounting (AR), certificates","Wrap the certificate posting in one ambient transaction, or make it resumable with an explicit partial-post state. Accounting-owned change — must be agreed with the Accounting owner.",Accounting owner,Open,C6 gate
CR-05,High,Medium,Posted document ids are recovered by MAX(ID) instead of being returned,BL/ProgressBillingService.cs:233-236 and 242-245 read MAX(Receipt.ID) before and after the call; BL/SubcontractBillingService.cs:164-167 does the same for Payments. A concurrent receipt for the same customer/vendor mis-links the certificate.,"Certificates, AR/AP reconciliation","Have the payable/receivable services return the created id (their change), or key on the certificate's own source reference.",Accounting owner,Open,C6 gate
CR-06,High,High,No optimistic concurrency anywhere in the construction schema,grep for RowVersion/timestamp over deploy/sql/boq.sql and deploy/sql/projects_p*.sql returns 0 in every file; no construction entity declares a concurrency token.,"BOQ, budget, certificates, contracts, variations, progress, documents",Add RowVersion to every commercially significant construction entity and a compare/reload UX; never last-write-wins on a value.,Construction owner,Open,C1 gate
CR-07,High,Medium,Construction tables carry almost no database-level integrity,Across boq.sql and projects_p*.sql there are 4 FOREIGN KEY/REFERENCES occurrences (all line->header) and 0 CHECK constraints; BoqItems has no FK to Projects and no company/project composite guard (deploy/sql/boq.sql).,Every construction table,"Additive idempotent SQL adding FK, composite (CompanyID, ProjectId) guards and CHECKs for status/percent/quantity domains.",Construction owner,Open,C1 gate
CR-08,High,Medium,Over-execution is silently truncated instead of raised as a variation,"BL/ProgressService.cs:85 caps executed value at min(cumQty, boqQty) x unitPrice; line 162 only sets a UI boolean OverBoq. Nothing blocks, notifies or routes it.","Progress, certificates, variations","Make over-quantity an explicit decision: block, or require an approved variation, and record the excess.",Commercial,Open,C6 gate
CR-09,High,High,Project create/edit/delete is ungated and hardcoded to company 1,"CrossBuy/Controllers/ProjectController.cs:180-203 — SaveProject and DeleteProject call no GateAsync and pass DefaultCompanyId (=1, line 20). The controller uses DefaultCompanyId 61 times while only 24 actions call GateAsync.","Project master, company isolation","FIRST-TAB owned (authorization). Reported, not modified: extend the D1 gate to the remaining project actions and resolve the company from IRequestCompanyResolver.",First tab (Authorization),Open — referred,C0 gate
CR-10,Medium,High,Construction journals pick an arbitrary currency,"_db.Currencies.Select(c => c.ID).FirstOrDefaultAsync() with no company filter and no functional-currency selection appears 5 times across BL/ContractService.cs, BL/ProjectLaborService.cs and BL/EquipmentDepreciationService.cs.","Advance, retention release, labor, equipment reclass",Accounting-owned: resolve the company functional currency. Construction must not add a sixth occurrence and needs a contract currency on the contract entity.,Accounting owner,Open,C3 gate
CR-11,Medium,High,Cost is untraceable below project level for labor and equipment,BL/ProjectLaborService.cs:100-101 posts only ProjectId; EquipmentDepreciationAllocation carries only ProjectId. BL/ProjectBudgetService.cs:28 names the consequence: UnattributedActual.,"Cost control, budget variance",Introduce CostAllocation carrying Project/WBS/CostCode/BOQ/Site and populate it at every cost source; do not change posting behaviour in this increment.,Construction owner,Open,C2 gate
CR-12,Medium,Medium,Retention can be released before the defects liability period ends,BL/ContractService.cs:95-121 checks only that the amount does not exceed the GL retention balance; there is no DLP date anywhere in the model.,"Retention, closeout","Add DLP dates to the contract and gate release on them, with an explicit override that is authorised and audited.",Commercial + Finance,Open,C3 gate
CR-13,Medium,High,A superseded drawing is indistinguishable from the current one,"Models/Context/Library/LibraryItem.cs:6-18 — no revision, no supersede link, no current flag; BL/FileManagerService.cs treats items as a folder tree only.","Document control, site execution","Construction DocumentRegister/DocumentRevision with a single current revision, a supersede link and a hard site warning; files stay in LibraryItem.",Construction owner,Open,C8 gate
CR-14,Medium,Medium,No approval chain exists for commercial documents,"Certificates have three states (Models/Context/Accounting/ProgressBilling.cs:18); the only approval engines are Models/Context/Admin/LeaveApprovalStep.cs and BL/InventoryApprovalService.cs, both module-specific.","Certificates, variations, budgets","Ask the platform for a shared approval engine; if it is not offered, define a construction-local chain rather than copying the HR one.",Construction owner + Platform,Open,C3 gate
CR-15,Medium,Medium,Audit history is create/post stamps only,Construction entities carry CreatedBy/CreatedAt/PostedBy/PostedAt only (e.g. Models/Context/Accounting/ProgressBilling.cs:31-33); no field-level history table exists.,Every commercial value,"ConstructionAudit with old/new/reason/actor/correlation, written by the owning service in the same transaction.",Construction owner,Open,C1 gate
CR-16,Medium,Low,Project confirm/close has no state machine,BL/ProgressService.cs:256-263 ConfirmAsync sets Status with no current-status check; Project.Status is a free string (Models/Context/Accounting/Dimensions.cs:39); ProjectsActions.Close exists with no process behind it (BL/ProjectsAccessService.cs:41).,"Progress, project lifecycle",Explicit state machines with allowed transitions and an audited reason.,Construction owner,Open,C1 gate
CR-17,Medium,Medium,Site is not a modelled dimension,Warehouse carries BranchHierarchicalId only (Models/Context/Inventory/Inventory.cs:152); no entity in Models/ has a SiteId. GoodsReceipt has no ProjectId (Inventory.cs:339-357).,"Site operations, material, manpower, equipment",Introduce ConstructionSite and reference it from construction documents; a Warehouse.SiteId is an Inventory-owned change to be agreed.,Construction + Inventory owner,Open,C4 gate
CR-18,Low,Medium,Offline site capture will duplicate records without an idempotency key,"crossbuy_mobile/lib/screens/ has no project or site screen today, so the contract can still be set before any client exists.",Mobile site operations,Every offline-capable construction document defines a client-generated idempotency key and a documented conflict policy before the first mobile screen is built.,Construction owner,Open,C10 gate
CR-19,Low,High,Construction has no automated test coverage,"CrossBuy.Tests/ holds 50+ test files, none construction: grep for boq/certificate/subcontract test classes returns none; the project-related hits are access-service and gate tests only.",Every construction rule,"Each construction slice ships tests for its invariants (cap, immutability, isolation, concurrency) in the existing xUnit project.",Construction owner,Open,C1 gate
CR-20,Low,Medium,Construction is not onboarded to the platform timeline or files,"BL/Platform/EntityRegistry.cs:219 — Project: SupportsTimeline=false, SupportsComments=false, SupportsFiles=false, PermissionScope=ScopeNone.","Timeline, comments, files",THIRD-TAB owned. Construction defines the events and payloads (see the event catalog) and requests onboarding; it does not write consumers.,Third tab (Communication),Open — referred,C9 gate
