classification,entity,dbset,table,module,company_field,company_nullable,branch_field,soft_delete,rows_crossbuydb2,null_company_rows,distinct_companies,in_pilot,filter_readiness,bypass_required_by,raw_sql,migration_risk,evidence
CompanyScopedDirect,JournalEntry,JournalEntries,JournalEntries,Accounting,CompanyID,False,,False,1938,0,1,YES,ready,"AccountingApiController.PayrollPost accepts companyId from the request (Hotfix A.1)",none,Low,Models/Context/Accounting/GeneralLedger.cs
CompanyScopedDirect,SalesInvoice,SalesInvoices,SalesInvoices,Accounting,CompanyID,False,,False,307,0,1,YES,ready,,none,Low,Models/Context/Accounting/ReceivablesPayables.cs
CompanyScopedDirect,PurchaseInvoice,PurchaseInvoices,PurchaseInvoices,Accounting,CompanyID,False,,False,79,0,1,YES,ready,,none,Low,Models/Context/Accounting/ReceivablesPayables.cs
CompanyScopedDirect,Customer,Customers,Customers,Accounting,CompanyID,False,,False,39,0,1,YES,ready,"AccountingApiController.Customers accepts companyId from the request (Hotfix A.1)",none,Low,Models/Context/Accounting/ReceivablesPayables.cs
CompanyScopedDirect,Item,Items,Items,Inventory,CompanyID,False,,False,199,0,1,YES,"ready ONLY with an explicit public scope","StoreController + HomeController.Store are [AllowAnonymous] and read Items with const StoreCompanyId = 1 and NO BusinessContext",none,Medium,"Controllers/StoreController.cs:12; Controllers/HomeController.cs:15; BL/StoreCatalogService.cs:39"
CompanyScopedDirect,Warehouse,Warehouses,Warehouses,Inventory,CompanyID,False,,False,3,0,1,YES,ready,,none,Low,Models/Context/Inventory/Inventory.cs
CompanyScopedDirect,Quotation,Quotations,Quotations,Inventory,CompanyID,False,,False,0,0,0,YES,"ready - zero rows, zero data risk",,none,Very low,Models/Context/Inventory/Quotation.cs
CompanyScopedDirect,Lead,Leads,Leads,CRM,CompanyID,False,,False,12,0,1,YES,ready,,none,Low,Models/Context/Crm/Crm.cs
CompanyScopedDirect,Opportunity,Opportunities,Opportunities,CRM,CompanyID,False,,False,7,0,1,YES,ready,,none,Low,Models/Context/Crm/Crm.cs
CompanyScopedDirect,CrmAccount,CrmAccounts,CrmAccounts,CRM,CompanyID,False,,False,16,0,1,YES,ready,,none,Low,Models/Context/Crm/Crm.cs
