from_module,AI,Accounting,Admin,CRM,Communication,FixedAssets,HR,Inventory,Manufacturing,POS,Platform,Projects,Tasks,Unclassified
AI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accounting,0,0,0,0,2,1,1,3,0,0,4,0,0,0
Admin,0,9,0,4,1,0,0,1,0,1,1,0,0,0
CRM,0,1,0,0,4,0,0,2,0,0,5,0,0,0
Communication,0,0,0,0,0,0,0,0,0,0,2,0,0,0
FixedAssets,0,5,0,0,0,0,0,0,0,0,3,0,0,0
HR,0,13,0,0,4,0,0,0,0,1,6,1,1,0
Inventory,0,23,0,0,9,1,2,0,1,1,5,1,0,1
Manufacturing,0,0,0,0,0,0,3,3,0,0,6,0,0,0
POS,0,38,0,0,0,0,0,16,8,0,0,0,0,0
Platform,0,7,0,7,1,0,1,7,0,7,0,0,1,0
Projects,0,4,0,0,0,0,3,1,0,0,14,0,0,0
Tasks,0,2,0,0,0,0,7,0,3,0,4,0,0,0
Unclassified,0,191,3,30,27,8,21,82,20,23,34,9,9,0
