ScreenId,Category,OwnerPlatformOrModule,Screen,Status,Purpose,Prerequisites,Permissions,DataSources,Workflow,Reporting,Communication,MobileRelevance,DesignReference,Evidence
SCR-01,Existing,Accounting,Accounting workspace (66 views),Existing,"Ledger, invoicing, statements, assets, closing.",None,"Attribute + in-body, 143 debt overall",Accounting entities,Posting and reversal,Statements,None,Low,Legacy - migrate to CrossBusiness Blue via D-37 rollout,Views/Accounting (66)
SCR-02,Existing,Inventory and WMS,Inventory workspace (78 views),Existing,"Items, stock, warehouses, counts, pricing, manufacturing, procurement.",None,InventoryAccessService post-B6,Inventory entities,Stock movement,Planned,None,Medium,Legacy - migrate via D-37 rollout,Views/Inventory (78)
SCR-03,Existing,CRM,CRM workspace (32 views),Existing,"Accounts, leads, opportunities, custom fields.",None,CrmAccessService - bootstrap-open on unconfigured,Crm entities,Pipeline,Planned,Planned,Medium,Legacy - migrate via D-37 rollout,Views/Crm (32)
SCR-04,Existing,HR,Admin and People workspaces (43 views),Existing,"Employees, attendance, leave, appraisals, recruitment, training.",None,HrAccessService,Admin entities,Leave and approval,Planned,Planned,High - attendance,Legacy - migrate via D-37 rollout,Views/Admin (31) + Views/People (12)
SCR-05,Existing,POS,POS and PosApp screens (21 views),Existing,"Order capture, payment, KDS, delivery, shift close.",None,PosAccessService,POS entities,Order lifecycle,Planned,None,Core,Domain UX - keeps POS-specific identity,Views/Pos (16) + Views/PosApp (5)
SCR-06,Existing,POS,Hypermarket lane (9 views),Existing,"Hyper selling lane, loyalty, receipts.",None,PosAccessService,POS + hyper entities,Pay and void,Hyper sales reports,None,Core,Functional placeholder awaiting owner design,Views/Hyper (9)
SCR-07,Existing,Projects,Project workspace (16 views),Existing,"Projects, progress, billing, material, labour.",None,ProjectsAccessService,Project entities,Progress billing,Planned,Planned,Medium,Legacy - migrate via D-37 rollout,Views/Project (16)
SCR-08,Existing,Task Management,Tasks screens (5 views),ExistingWeak,Task list and detail; not an integrated work surface.,None,TasksAccessService,Task entities,Task lifecycle,Planned,Not registered in Comm,High,Assess before change - D-32 approved,Views/Tasks (5)
SCR-09,Existing,Calendar,Calendar screen (1 view),ExistingWeak,"Single view; no workspace, no cross-module scheduling.",None,CalendarController,Calendar entities,None,None,Reminder partial,High,Assess before change - D-33 approved,Views/Calendar (1)
SCR-10,Existing,Support and Customer Service,Service screens (5 views),ExistingWeak,"Ticket capture and listing; no SLA, no customer visibility.",None,No dedicated access service,Ticket tables,Ticket lifecycle,Planned,Blocked by D-13,Medium,Legacy - migrate via D-37 rollout,Views/Service (5)
SCR-11,Existing,Notifications,Notifications screen (1 view),ExistingWeak,Basic notification list.,None,Session,Notifications,None,None,Superseded by SCR-36,High,Legacy - superseded,Views/Notifications (1)
SCR-12,Existing,Files and Document Management,File manager (1 view),ExistingWeak,Flat file browse; no versioning or control.,None,None dedicated,File tables,None,None,Attachment source,Medium,Legacy - migrate via D-37 rollout,Views/FileManager (1)
SCR-13,Existing,Workflow and Approvals,Approvals inbox (1 view),ExistingWeak,Single inbox view; not a general workflow surface.,None,Partial,Approval tables,Approval,Planned,Planned,High,Superseded by SCR-46,Views/Approvals (1)
SCR-14,Existing,Customer Portal,Portal and Store (3 views),ExistingWeak,Public catalog and portal entry.,None,Public catalog scope,Store tables,Browse,None,None,High,Legacy - migrate via D-37 rollout,Views/Portal (1) + Views/Store (2)
SCR-15,Existing,Communication and Collaboration,Legacy Comm screens (3 views),ExistingWeak,Legacy Comm module UI - NOT the Communication Platform UI.,None,CommunicationAccessService,Comm tables,Message dispatch,None,Legacy path - distinct from COM-01,Medium,Superseded - do not extend,Views/Comm (3)
SCR-16,PlatformAdministration,Platform Framework,Business Event Monitor (3 views),Delivered,Inspect business events and dispatch state. The one delivered platform operational screen.,PLT-02,PlatformOps,"BusinessEvents, BusinessEventDispatch",Retry and inspect,Source of the R4 pilot dataset,None,Low,Reference for CrossBusiness Blue admin shell,Views/BusinessEventMonitor (3)
SCR-17,Existing,Platform Framework,Platform timeline,Existing,Timeline view over onboarded entities.,PLT-05,Session,Timeline projection,None,None,Timeline surface,Medium,Legacy - migrate via D-37 rollout,Controllers/PlatformTimelineController.cs
SCR-18,Existing,Identity and Access,Account screens (5 views),Existing,"Login, profile, password.",None,Anonymous plus session,User tables,Login,None,None,Core,Legacy - migrate via D-37 rollout,Views/Account (5)
SCR-19,Existing,Accounting,Currency screens (4 views),Existing,Currency master and revaluation.,None,Attribute,Currency entities,Revaluation posts reversal,Planned,None,Low,Legacy - migrate via D-37 rollout,Views/Currency (4)
SCR-20,Existing,Platform Framework,Announcements and Brand (3 views),Existing,Announcements banner and brand configuration.,None,Partial,Announcement tables,None,None,Banner in layouts,Low,Legacy - migrate via D-37 rollout,Views/Announcements (1) + Views/Brand (2)
SCR-21,Mobile,Mobile and Field Operations,Flutter app (10 screens),Existing,Mobile client shipping separately from the web host.,IDN-01,API authorization,API controllers,Attendance and lookup,None,Planned,Core,Owner design required,crossbuy_mobile/lib/screens (10)
SCR-30,Planned,CrossBusiness Workspace,Workspace shell and navigation,Planned,The single front door. Owns no business data; orchestrates approved service contracts.,"R1, R2",Session plus every module's own access service - Workspace adds NO permissions,Cross-module read contracts,None of its own,Embedded,Embedded,High,REQUEST owner Metronic reference - CrossBusiness Blue,No source
SCR-31,PlatformAdministration,Core Security,Security Console,Planned,"Roles, grants, bootstrap policies, authorization debt burn-down.","SEC-02, SEC-05",PlatformOps,Platform tables,Grant and revoke,Debt report,None,Low,REQUEST owner Metronic reference - CrossBusiness Blue,No source
SCR-32,PlatformAdministration,Master Data,Master Data Console,Planned,Governed master entities and ownership.,MDM-01,PlatformOps,Master entities,Stewardship,Planned,None,Low,REQUEST owner Metronic reference - CrossBusiness Blue,No source
SCR-33,Planned,Reporting Platform,Report Center,Planned,"Browse, run, export, schedule and share reports. First dataset: Business Events (D-35).",REP-07,ReportPermissions,Report catalog,Run and schedule,Core,Delivery,Medium,REQUEST owner Metronic reference - CrossBusiness Blue,No source
SCR-34,Planned,Reporting Platform,Report Studio,Planned,Author and edit report definitions and datasets.,"REP-07, SCR-33",ReportPermissions.Administer,Dataset registry,Authoring,Core,None,Low,REQUEST owner Metronic reference - CrossBusiness Blue,No source
SCR-35,Planned,Communication and Collaboration,Threads and comments surface,Planned,Universal comment/thread panel embedded in entity screens.,COM-08,CommAccessPolicy,Comm tables,Thread lifecycle,None,Core,High,REQUEST owner Metronic reference - CrossBusiness Blue,No source
SCR-36,Planned,Communication and Collaboration,Mentions and notifications centre,Planned,Unified inbox for mentions and notifications; embedded in the workspace.,"COM-08, NOT-01",Session,Comm plus Notifications,None,None,Core,High,REQUEST owner Metronic reference - CrossBusiness Blue,No source
SCR-37,Planned,Task Management,Unified Task and Calendar views,Planned,Integrated task and calendar presentation. NOT a new module - integration of existing systems.,"TSK-01, CAL-01, SCR-30",TasksAccessService,Task plus Calendar,Task lifecycle,Planned,Mentions,High,Assess existing screens first,No source
SCR-38,Planned,Construction and Contracting,Construction workspace,Planned,"BOQ, subcontracts, certificates, variations, progress.",CON-04,Project-scoped,Construction tables,Certification,Core,Planned,High - site,REQUEST owner Metronic reference - CrossBusiness Blue,No source
SCR-39,Planned,Construction and Contracting,Site operations and DSR,Planned,"Daily site report, RFI, document control.",CON-05,Project-scoped,Construction tables,Site workflow,Core,Core,Core - offline,REQUEST owner Metronic reference - CrossBusiness Blue,No source
SCR-40,Planned,CRM,CRM and Support workspace,Planned,Unified customer view across CRM and Support.,"CRM-04, SUP-02",CrmAccessService post-conversion,Crm plus tickets,Case lifecycle,Planned,Core,High,REQUEST owner Metronic reference - CrossBusiness Blue,No source
SCR-41,Planned,Customer Portal,Customer and partner portal,Planned,External self-service portal.,"PRT-01, D-29",ExternalPrincipalContext - NOT an employee context,Scoped subset,Self-service,Planned,CustomerVisibleReply only,Core,REQUEST owner Metronic reference - CrossBusiness Blue,No source
SCR-42,Planned,Search,Search surface,Planned,Cross-module search honouring per-module authorization at query time.,SRC-01,Per-module authorization at query time,Search index,None,None,None,High,REQUEST owner Metronic reference - CrossBusiness Blue,No source
SCR-43,Planned,Platform Framework,Module dashboards,Planned,Role-based operational dashboards inside module workspaces.,REP-07,Per-module,Datasets,None,Core,None,Medium,REQUEST owner Metronic reference - CrossBusiness Blue,Existing dashboard services only
SCR-44,Planned,CrossBusiness Workspace,My Work,Planned,"Unified personal work list drawn from Tasks, approvals and mentions.","SCR-30, TSK-01",Delegated to TasksAccessService and module services,"Tasks, approvals, mentions",Read-only aggregation,Saved views,Mentions,High,REQUEST owner Metronic reference - CrossBusiness Blue,No source
