PhaseId,Name,Objective,BusinessValue,Included,Excluded,Prerequisites,Owner,Screens,Services,DatabaseWork,APIWork,SecurityGates,MigrationGates,TestGates,Complexity,ParallelSafety,CompletionCriteria
R0,Roadmap Reconciliation,Establish one verified account of what exists and freeze an owner-approved plan.,Removes planning based on stale assumptions.,"Capability catalog, screen inventory, architectures, registers, decision register, product vision, deployment governance design.",Any production code change.,B6 closed,First Tab,None,None,None,None,No production change,None,Build stays green,Low,Safe - documentation only,COMPLETE after this owner-review increment.
R1,"Repository, Ownership and Deployment Governance","Make the repository committed, owned and deployable before anything is activated.",Every later phase inherits this or inherits its absence.,Commit and preserve current platform work; per-tab worktrees; protected integration branch; tab/shared-file/ADR/SQL-slice registries; canonical SQL root; PlatformSchemaHistory; integration gate; CI validation; stale-build prevention.,Any feature work. Any schema activation.,"R0, D-38, D-39, D-40",Integration Owner,None,No new services,Design and apply PlatformSchemaHistory; adopt manifest.json as the authored-slice registry; reconcile the 4 divergent duplicates; resolve the 1 review and 1 not-deployable script,None,No new debt; CBA gates 0/0/0 enforced in CI,Slice inventory reconciled; every applied slice recorded with SHA-256,Full suite green on the integration branch,High,Requires all four tabs to adopt simultaneously,"One canonical authored root, an authoritative applied record, integration gate enforced in CI, zero build breaks for one full cadence, all tab work committed."
R10,Financial Operations Advancement,Deepen accounting beyond posting.,Financial control and compliance.,Generic workflow engine; platform-wide audit; consolidated statements; tax depth.,IFRS reporting packs.,"R1, R4, D-01",To be assigned,Accounting workspaces,"WFL-02, AUD-03, ACC-07",Accounting slices,Accounting APIs,Accounting debt retired,None,Accounting suites,High,Safe,"Approval routing live, audit unified, statements served from the reporting platform."
R11,Customer and Partner Portals,Extend the platform outside the company.,New service and revenue channel.,ExternalPrincipalContext; portal isolation; self-service; partner access; customer-visible replies.,Payment gateway.,"R4, R6, D-13, D-14, D-29",To be assigned,SCR-41,"PRT-01, PRT-02, SUP-02",Portal slices,Portal APIs,External principal isolation proved; a customer is never an employee context,None,Portal suites,Very High,Requires the isolation decision first,External users transact under a proved isolation boundary distinct from employee context.
R12,"AI, Search and Automation",Add intelligence over a governed data surface.,Differentiation once the data platform is trustworthy.,Search index; AI governance; assistant surfaces; automation.,Autonomous financial actions.,"R4, R10, D-27, D-28",To be assigned,SCR-42,"SRC-01, AI-01..AI-03",Search index,AI APIs,"AI reads the reporting dataset layer, never raw tables; search honours per-module authorization at query time",None,AI and search suites,High,Safe once governance is decided,Search across modules respects authorization; AI actions governed and audited.
R13,Industry Packs,Package vertical configurations.,Faster time to value per industry.,Hyper retail pack; contracting pack; services pack.,New core modules.,"R7, R9, R10",To be assigned,Pack-specific,Configuration only,Seed data,None,Per-pack authorization review,None,Pack suites,Medium,Safe,Each pack installs as configuration with no core fork.
R14,Mobile and Field Operations,Deliver a real field client.,Field capture is where the data originates.,Mobile workspace; offline policy; site capture; POS mobility.,Full offline selling.,"R5, R7, D-30",To be assigned,SCR-21 expansion,"MOB-01, POS-04",Sync schema,Mobile APIs,Mobile authorization equals web authorization,Offline conflict policy proved,Mobile suites,High,Safe,Field users capture offline and sync under a proved conflict policy.
R15,Ecosystem and Developer Platform,Open the platform to integrators.,Ecosystem leverage.,Integration hub; public API; webhooks; developer documentation.,Marketplace billing.,R12,To be assigned,Developer portal,INT-01,Integration tables,Public API,External API authorization and rate limiting,None,Integration suites,High,Safe,"Third parties integrate through a documented, authorized public API."
R2,Platform Activation Foundation,Controlled activation of the three built-but-dark foundations. No broad UI.,Converts 533 passing tests and 34 tables from zero reach to reachable capability.,Reporting foundation activation; Communication platform activation (Program.cs registration + hosted worker); Construction C1 schema applied in an approved non-production environment; DocComments migration; notification-path reconciliation.,Report Center UI; Communication UI; Workspace; Construction production deployment.,"R1, D-05, D-06, D-07, D-19","Integration Owner with Second, Third and Fourth Tabs",None,COM-08 activation; REP-01/02/03 activation,Apply communication slice 001 and reporting slice via the R1 gate; apply Construction C1 DDL in the approved environment only,Activation endpoints only,Every new endpoint attribute- or in-body-secured; debt does not grow,DocComments migration reversible and measured with before/after counts; Construction M3/M9 recorded,221/221 and 274/274 retained plus activation tests,High,Safe once R1 shared-file rules hold,"All three foundations reachable in a running environment, migrations measured, one notification path per fact."
R3,CrossBusiness Workspace Foundation,Deliver the first integrated user-facing product.,The product gains a front door; platform investment becomes visible to users.,Workspace shell and navigation; My Work; notifications and mentions centre; approvals inbox; recent activity and timeline; personal dashboard.,Team dashboard if OrgHierarchy scope is unresolved; Report Studio; module rewrites.,R2,To be assigned,"SCR-30, SCR-36, SCR-44, SCR-45, SCR-46, SCR-48, SCR-49",Workspace orchestration only - no new business services,None - Workspace owns no tables,Read-only aggregation contracts,Workspace adds NO permissions; every read delegates to the owning module's access service; hiding a control is not a control,None,Workspace suite plus per-module delegation tests,High,"Safe - consumes contracts, owns no module","A user opens one surface and sees their tasks, approvals, mentions and activity across modules, with every item authorized by its owning module."
R4,Report Center and First Dataset,Bind Reporting to real data and deliver report consumption.,"First user-visible return on the reporting investment, at low data sensitivity.",Business Events / Platform Operations pilot dataset (read-only); Report Center; parameters; HTML preview; CSV and Excel; history; archive; saved reports; favourites.,"Report Studio; PDF runtime; email delivery; hosted scheduler; any ledger, stock-cost or CRM dataset.","R2, R3, D-35",Second Tab,"SCR-33, SCR-47","REP-07, REP-09",Reporting slice already applied in R2,Report APIs,Dataset-level authorization; no sensitive payload exposed by default; row caps enforced,"Pilot dataset read-only, no write path",221/221 retained plus dataset and UI tests,High,Safe - Second Tab owns Reporting,"The Business Events dataset renders in HTML, CSV and Excel from the Report Center with parameters, history, archive and permissions proved."
R5,Tasks and Calendar Integration,Integrate two EXISTING systems. Not greenfield.,Turns weak-but-real capability into daily-use capability.,Audit existing Tasks and Calendar implementation; consolidate ownership per D-32/D-33; register Tasks as a Comm entity surface; unified Task/Calendar views; Workspace integration; assess legacy task activity data before migration.,Rebuilding Tasks or Calendar from zero; Support external principal.,"R3, D-32, D-33, D-12",To be assigned,SCR-37,"TSK-01..05, CAL-01..02, COM-06",Assess the 7 existing task slices and the calendar slice before any schema change,Task and calendar APIs,Task authorization reviewed against the debt list,Legacy task activity assessed before migration; Tasks must not keep a second general timeline,Task and calendar suites plus integration tests,Medium,Safe once Communication is activated,"Tasks owns task state and rules; Communication owns comments, mentions and unified timeline; Calendar owns events and presentation; all three visible in one workspace."
